"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00440937","1950-04-11","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  278",",,0","   72",",,0",,,,,"  211",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-12","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  217",",,0","   39",",,0",,,,,"  167",",I,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-13","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","   89",",I,0","    6",",,0",,,,,"   44",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-14","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","   61",",,0","  -50",",,0",,,,,"   61",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-15","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  100",",,0","   -6",",,0",,,,,"   78",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-16","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","    6",",,0",,,,,"  150",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-17","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  244",",,0","   33",",,0",,,,,"  233",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-18","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  267",",,0","  122",",,0",,,,,"  211",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-19","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  278",",,0","  128",",,0",,,,,"  244",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-20","38.05","-77.35","70.1","BOWLING GREEN, VA US","   76",",,0","    0",",,0","    0",",,0","  256",",,0","  100",",,0",,,,,"  122",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-21","38.05","-77.35","70.1","BOWLING GREEN, VA US","   20",",,0","    0",",,0","    0",",,0","  194",",,0","  122",",,0",,,,,"  122",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-22","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  217",",,0","   33",",,0",,,,,"  183",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-23","38.05","-77.35","70.1","BOWLING GREEN, VA US","   81",",,0","    0",",,0","    0",",,0","  250",",,0","  111",",,0",,,,,"  244",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-24","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  244",",,0","  133",",,0",,,,,"  172",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-25","38.05","-77.35","70.1","BOWLING GREEN, VA US","   20",",,0","    0",",,0","    0",",,0","  239",",,0","   78",",,0",,,,,"  122",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-26","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  244",",,0","   83",",,0",,,,,"  233",",,0",,,,,,,,,,,,,,,,,"    1",",,0"
"USC00440937","1950-04-27","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  261",",,0","   94",",,0",,,,,"  228",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-28","38.05","-77.35","70.1","BOWLING GREEN, VA US","  411",",,0","    0",",,0","    0",",,0","  261",",,0","   89",",,0",,,,,"  250",",,0",,,,,,,"    1",",,0",,,,,,,,,,
"USC00440937","1950-04-29","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  311",",,0","  128",",,0",,,,,"  139",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-04-30","38.05","-77.35","70.1","BOWLING GREEN, VA US","   23",",,0","    0",",,0","    0",",,0","  144",",,0","   83",",,0",,,,,"  106",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-01","38.05","-77.35","70.1","BOWLING GREEN, VA US","   25",",,0","    0",",,0","    0",",,0","  194",",,0","   94",",,0",,,,,"  194",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-02","38.05","-77.35","70.1","BOWLING GREEN, VA US","   56",",,0","    0",",,0","    0",",,0","  217",",,0","  117",",,0",,,,,"  178",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-03","38.05","-77.35","70.1","BOWLING GREEN, VA US","   51",",,0","    0",",,0","    0",",,0","  178",",,0","  122",",,0",,,,,"  144",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-04","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  244",",,0","  122",",,0",,,,,"  239",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-05","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  289",",,0","  167",",,0",,,,,"  278",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-06","38.05","-77.35","70.1","BOWLING GREEN, VA US","   25",",,0","    0",",,0","    0",",,0","  328",",,0","  167",",,0",,,,,"  211",",,0","    1",",,0",,,,,,,,,,,,,,,,
"USC00440937","1950-05-07","38.05","-77.35","70.1","BOWLING GREEN, VA US","   13",",,0","    0",",,0","    0",",,0","  272",",,0","  206",",,0",,,,,"  222",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-08","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  233",",,0","   83",",,0",,,,,"  178",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-09","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  244",",,0","   56",",,0",,,,,"  194",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-10","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  289",",,0","  144",",,0",,,,,"  261",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-11","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  278",",,0","  161",",,0",,,,,"  244",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-12","38.05","-77.35","70.1","BOWLING GREEN, VA US","   30",",,0","    0",",,0","    0",",,0","  250",",,0","  122",",,0",,,,,"  122",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-13","38.05","-77.35","70.1","BOWLING GREEN, VA US","   36",",,0","    0",",,0","    0",",,0","  244",",,0","  111",",,0",,,,,"  228",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-14","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  233",",,0","  144",",,0",,,,,"  200",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-15","38.05","-77.35","70.1","BOWLING GREEN, VA US","  229",",,0","    0",",,0","    0",",,0","  233",",,0","  167",",,0",,,,,"  183",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-05-16","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  222",",,0","  133",",,0",,,,,"  217",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-17","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  256",",,0","  167",",,0",,,,,"  239",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-18","38.05","-77.35","70.1","BOWLING GREEN, VA US","  130",",,0","    0",",,0","    0",",,0","  267",",,0","  122",",,0",,,,,"  183",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-05-19","38.05","-77.35","70.1","BOWLING GREEN, VA US","  155",",,0","    0",",,0","    0",",,0","  206",",,0","  122",",,0",,,,,"  172",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-20","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  183",",,0","   89",",,0",,,,,"  139",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-21","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  233",",,0","   78",",,0",,,,,"  211",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-22","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  256",",,0","   94",",,0",,,,,"  211",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-23","38.05","-77.35","70.1","BOWLING GREEN, VA US","   43",",,0","    0",",,0","    0",",,0","  272",",,0","  128",",,0",,,,,"  200",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-05-24","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  267",",,0","  150",",,0",,,,,"  244",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-25","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  272",",,0","  139",",,0",,,,,"  211",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-26","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  239",",,0","  150",",,0",,,,,"  228",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-27","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  289",",,0","  167",",,0",,,,,"  267",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-28","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  272",",,0","  156",",,0",,,,,"  222",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-29","38.05","-77.35","70.1","BOWLING GREEN, VA US","  191",",,0","    0",",,0","    0",",,0","  311",",,0","  139",",,0",,,,,"  200",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-30","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  300",",,0","  150",",,0",,,,,"  256",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-05-31","38.05","-77.35","70.1","BOWLING GREEN, VA US","  104",",,0","    0",",,0","    0",",,0","  300",",,0","  156",",,0",,,,,"  233",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-01","38.05","-77.35","70.1","BOWLING GREEN, VA US","   15",",,0","    0",",,0","    0",",,0","  283",",,0","  150",",,0",,,,,"  244",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-02","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  289",",,0","  144",",,0",,,,,"  267",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-03","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  300",",,0","  161",",,0",,,,,"  228",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-04","38.05","-77.35","70.1","BOWLING GREEN, VA US","   25",",,0","    0",",,0","    0",",,0","  233",",,0","  156",",,0",,,,,"  178",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-05","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  278",",,0","  100",",,0",,,,,"  256",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-06","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  294",",,0","  161",",,0",,,,,"  228",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-07","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  306",",,0","  156",",,0",,,,,"  300",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-08","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  300",",,0","  150",",,0",,,,,"  278",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-09","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  317",",,0","  172",",,0",,,,,"  278",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-10","38.05","-77.35","70.1","BOWLING GREEN, VA US","   13",",,0","    0",",,0","    0",",,0","  311",",,0","  183",",,0",,,,,"  211",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-06-11","38.05","-77.35","70.1","BOWLING GREEN, VA US","   61",",,0","    0",",,0","    0",",,0","  256",",,0","  189",",,0",,,,,"  228",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-12","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  250",",,0","  144",",,0",,,,,"  228",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-13","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  267",",,0","  128",",,0",,,,,"  250",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-14","38.05","-77.35","70.1","BOWLING GREEN, VA US","    8",",,0","    0",",,0","    0",",,0","  311",",,0","  167",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-15","38.05","-77.35","70.1","BOWLING GREEN, VA US","   15",",,0","    0",",,0","    0",",,0","  267",",,0","  200",",,0",,,,,"  217",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-06-16","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  267",",,0","  167",",,0",,,,,"  244",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-17","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  317",",,0","  206",",,0",,,,,"  272",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-18","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  272",",,0","  150",",,0",,,,,"  228",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-19","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  306",",,0","  200",",,0",,,,,"  294",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-20","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  333",",,0","  217",",,0",,,,,"  317",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-21","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  317",",,0","  211",",,0",,,,,"  267",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-22","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  267",",,0","  200",",,0",,,,,"  233",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-23","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  294",",,0","  194",",,0",,,,,"  267",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-24","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  339",",,0","  206",",,0",,,,,"  322",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-25","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  322",",,0","  211",",,0",,,,,"  283",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-26","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  328",",,0","  200",",,0",,,,,"  311",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-27","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  350",",,0","  200",",,0",,,,,"  317",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-28","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  317",",,0","  172",",,0",,,,,"  261",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-29","38.05","-77.35","70.1","BOWLING GREEN, VA US",,,"    0",",,0","    0",",,0","  267",",,0","  161",",,0",,,,,"  244",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-06-30","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  289",",,0","  194",",,0",,,,,"  283",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-01","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  300",",,0","  200",",,0",,,,,"  278",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-02","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  322",",,0","  206",",,0",,,,,"  306",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-03","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  333",",,0","  200",",,0",,,,,"  278",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-07-04","38.05","-77.35","70.1","BOWLING GREEN, VA US","  152",",,0","    0",",,0","    0",",,0","  328",",,0","  206",",,0",,,,,"  233",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-07-05","38.05","-77.35","70.1","BOWLING GREEN, VA US","   43",",,0","    0",",,0","    0",",,0","  311",",,0","  200",",,0",,,,,"  222",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-07-06","38.05","-77.35","70.1","BOWLING GREEN, VA US","   81",",,0","    0",",,0","    0",",,0","  233",",,0","  200",",,0",,,,,"  206",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-07-07","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  272",",,0","  150",",,0",,,,,"  250",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-08","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  289",",,0","  156",",,0",,,,,"  256",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-09","38.05","-77.35","70.1","BOWLING GREEN, VA US","  127",",,0","    0",",,0","    0",",,0","  256",",,0","  200",",,0",,,,,"  206",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-10","38.05","-77.35","70.1","BOWLING GREEN, VA US","  145",",,0","    0",",,0","    0",",,0","  283",",,0","  206",",,0",,,,,"  267",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-11","38.05","-77.35","70.1","BOWLING GREEN, VA US","   36",",,0","    0",",,0","    0",",,0","  294",",,0","  211",",,0",,,,,"  283",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-12","38.05","-77.35","70.1","BOWLING GREEN, VA US","   43",",,0","    0",",,0","    0",",,0","  283",",,0","  217",",,0",,,,,"  239",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-07-13","38.05","-77.35","70.1","BOWLING GREEN, VA US","   10",",,0","    0",",,0","    0",",,0","  294",",,0","  206",",,0",,,,,"  239",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-07-14","38.05","-77.35","70.1","BOWLING GREEN, VA US","    8",",,0","    0",",,0","    0",",,0","  267",",,0","  206",",,0",,,,,"  250",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-15","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  278",",,0","  200",",,0",,,,,"  261",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-16","38.05","-77.35","70.1","BOWLING GREEN, VA US","  384",",,0","    0",",,0","    0",",,0","  300",",,0","  194",",,0",,,,,"  283",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-07-17","38.05","-77.35","70.1","BOWLING GREEN, VA US","   15",",,0","    0",",,0","    0",",,0","  317",",,0","  206",",,0",,,,,"  256",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-07-18","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0","T,,0","    0",",,0","    0",",,0","  311",",,0","  206",",,0",,,,,"  283",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-07-19","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  311",",,0","  211",",,0",,,,,"  289",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-20","38.05","-77.35","70.1","BOWLING GREEN, VA US","  188",",,0","    0",",,0","    0",",,0","  322",",,0","  217",",,0",,,,,"  244",",,0",,,"    1",",,0",,,,,,,,,,,,,,
"USC00440937","1950-07-21","38.05","-77.35","70.1","BOWLING GREEN, VA US",,,"    0",",,0","    0",",,0","  244",",,0","  189",",,0",,,,,"  211",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-22","38.05","-77.35","70.1","BOWLING GREEN, VA US",,,"    0",",,0","    0",",,0","  267",",,0","  144",",,0","    2",",,0","  323",",,0","  256",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-23","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  267",",,0","  183",",,0",,,,,"  256",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-24","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  278",",,0","  189",",,0",,,,,"  256",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-25","38.05","-77.35","70.1","BOWLING GREEN, VA US","   13",",,0","    0",",,0","    0",",,0","  306",",,0","  194",",,0",,,,,"  289",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-26","38.05","-77.35","70.1","BOWLING GREEN, VA US","   61",",,0","    0",",,0","    0",",,0","  289",",,0","  189",",,0",,,,,"  200",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-27","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  283",",,0","  167",",,0",,,,,"  267",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-28","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  294",",,0","  178",",,0",,,,,"  278",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-29","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  300",",,0","  178",",,0",,,,,"  289",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-30","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  322",",,0","  189",",,0",,,,,"  306",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-07-31","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  322",",,0","  200",",,0",,,,,"  300",",,0",,,,,,,,,,,,,,,,,,
"USC00440937","1950-08-01","38.05","-77.35","70.1","BOWLING GREEN, VA US","    0",",,0","    0",",,0","    0",",,0","  322",",,0","  228",",,0",,,,,"  289",",,0",,,,,,,,,,,,,,,,,,
