"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00424970","2011-01-12","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   51",",,7","  -22",",,7"," -100",",,7","  -33",",,7,1700",,,,,,,,
"USC00424970","2011-01-13","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   51",",,7","    6",",,7","  -78",",,7","   -6",",,7,1700",,,,,,,,
"USC00424970","2011-01-14","41.0972","-111.9972","1359.4","LAYTON, UT US","   33",",,7,1700","   33",",,7","   51",",,7","   44",",,7","  -39",",,7","    6",",,7,1700",,,,,,,,
"USC00424970","2011-01-15","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   51",",,7","   44",",,7","  -17",",,7","   28",",,7,1700",,,,,,,,
"USC00424970","2011-01-16","41.0972","-111.9972","1359.4","LAYTON, UT US","   51",",,7,1700","    0",",,7","   25",",,7","   44",",,7","   -6",",,7","   39",",,7,1700",,,,,,,,
"USC00424970","2011-01-17","41.0972","-111.9972","1359.4","LAYTON, UT US","   46",",,7,1700","    0",",,7","    0","T,,7","   94",",,7","   33",",,7","   72",",,7,1700",,,,,,,,
"USC00424970","2011-01-18","41.0972","-111.9972","1359.4","LAYTON, UT US","    3",",,7,1700","    0",",,7","    0",",,7","   72",",,7","  -22",",,7","   50",",,7,1700",,,,,,,"    1",",,7"
"USC00424970","2011-01-19","41.0972","-111.9972","1359.4","LAYTON, UT US","   23",",,7,1700","    0","T,,7","    0",",,7","   50",",,7","   -6",",,7","   -6",",,7,1700",,,,,,,,
"USC00424970","2011-01-20","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   22",",,7","  -72",",,7","    0",",,7,1700",,,,,,,,
"USC00424970","2011-01-21","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   39",",,7","  -39",",,7","   28",",,7,1700",,,,,,,,
"USC00424970","2011-01-22","41.0972","-111.9972","1359.4","LAYTON, UT US","    3",",,7,1700","    0","T,,7","    0",",,7","   61",",,7","    0",",,7","   28",",,7,1700",,,,,,,,
"USC00424970","2011-01-23","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   44",",,7","  -67",",,7","   17",",,7,1700",,,,,,,,
"USC00424970","2011-01-24","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   67",",,7","  -44",",,7","   17",",,7,1700",,,,,,,,
"USC00424970","2011-01-25","41.0972","-111.9972","1359.4","LAYTON, UT US","   51",",,7,1700","   63",",,7","   51",",,7","   17",",,7","   -6",",,7","   11",",,7,1700",,,,,,,,
"USC00424970","2011-01-26","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   25",",,7","   33",",,7","  -50",",,7","   11",",,7,1700",,,,,,,,
"USC00424970","2011-01-27","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0","T,,7","   50",",,7","  -50",",,7","   22",",,7,1700",,,,,,,,
"USC00424970","2011-01-28","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0","T,,7","   33",",,7","  -39",",,7","   -6",",,7,1700",,,,,,,,
"USC00424970","2011-01-29","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0","T,,7","   22",",,7","  -28",",,7","   -6",",,7,1700",,,,,,,,
"USC00424970","2011-01-30","41.0972","-111.9972","1359.4","LAYTON, UT US","    0","T,,7,1700","    0","T,,7","    0","T,,7","   33",",,7","  -28",",,7","    6",",,7,1700",,,,,,,,
"USC00424970","2011-01-31","41.0972","-111.9972","1359.4","LAYTON, UT US","   20",",,7,1700","   43",",,7","    0",",,7","   33",",,7","  -22",",,7","    0",",,7,1700",,,,,,,,
"USC00424970","2011-02-01","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","    0",",,7"," -122",",,7"," -122",",,7,1700",,,,,,,,
"USC00424970","2011-02-02","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  -44",",,7"," -156",",,7","  -67",",,7,1700",,,,,,,,
"USC00424970","2011-02-03","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  -17",",,7"," -128",",,7","  -39",",,7,1700",,,,,,,,
"USC00424970","2011-02-04","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","    6",",,7","  -61",",,7","   -6",",,7,1700",,,,,,,,
"USC00424970","2011-02-05","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   78",",,7","   -6",",,7","   39",",,7,1700",,,,,,,,
"USC00424970","2011-02-06","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   78",",,7","  -33",",,7","   17",",,7,1700",,,,,,,,
"USC00424970","2011-02-07","41.0972","-111.9972","1359.4","LAYTON, UT US","   10",",,7,1700","    0","T,,7","    0","T,,7","   78",",,7","   -6",",,7","    0",",,7,1700",,,,,,,,
"USC00424970","2011-02-08","41.0972","-111.9972","1359.4","LAYTON, UT US","   10",",,7,1700","    8",",,7","    0",",,7","   22",",,7","  -44",",,7","  -17",",,7,1700",,,,,,,,
"USC00424970","2011-02-09","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","    6",",,7","  -89",",,7","  -17",",,7,1700",,,,,,,,
"USC00424970","2011-02-10","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   28",",,7","  -83",",,7","    6",",,7,1700",,,,,,,,
"USC00424970","2011-02-11","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   72",",,7","  -72",",,7","   44",",,7,1700",,,,,,,,
"USC00424970","2011-02-12","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  117",",,7","  -44",",,7","  106",",,7,1700",,,,,,,,
"USC00424970","2011-02-13","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  156",",,7","    0",",,7","  117",",,7,1700",,,,,,,,
"USC00424970","2011-02-14","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  139",",,7","   -6",",,7","  128",",,7,1700",,,,,,,,
"USC00424970","2011-02-15","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  150",",,7","   11",",,7","  106",",,7,1700",,,,,,,,
"USC00424970","2011-02-16","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  150",",,7","   50",",,7","  117",",,7,1700",,,,,,,,
"USC00424970","2011-02-17","41.0972","-111.9972","1359.4","LAYTON, UT US","  104",",,7,1700","  152",",,7","   51",",,7","  117",",,7","  -72",",,7","   39",",,7,1700",,,,,,,,
"USC00424970","2011-02-18","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   25",",,7","   94",",,7","  -39",",,7","   83",",,7,1700",,,,,,,,
"USC00424970","2011-02-19","41.0972","-111.9972","1359.4","LAYTON, UT US","   28",",,7,1700","    0",",,7","    0","T,,7","   94",",,7","  -39",",,7","   39",",,7,1700",,,,,,,,
"USC00424970","2011-02-20","41.0972","-111.9972","1359.4","LAYTON, UT US","  170",",,7,1700","  145",",,7","  102",",,7","   39",",,7","  -11",",,7","   11",",,7,1700",,,,,,,,
"USC00424970","2011-02-21","41.0972","-111.9972","1359.4","LAYTON, UT US","   20",",,7,1700","   13",",,7","   51",",,7","   50",",,7","  -33",",,7","   22",",,7,1700",,,,,,,,
"USC00424970","2011-02-22","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   51",",,7","   61",",,7","  -39",",,7","   17",",,7,1700",,,,,,,,
"USC00424970","2011-02-23","41.0972","-111.9972","1359.4","LAYTON, UT US","    0","T,,7,1700","    0","T,,7","   51",",,7","   50",",,7","  -56",",,7","   17",",,7,1700",,,,,,,,
"USC00424970","2011-02-24","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   25",",,7","   50",",,7","  -50",",,7","    6",",,7,1700",,,,,,,,
"USC00424970","2011-02-25","41.0972","-111.9972","1359.4","LAYTON, UT US","   25",",,7,1700","   25",",,7","   25",",,7","   61",",,7","  -17",",,7","   61",",,7,1700",,,,,,,,
"USC00424970","2011-02-26","41.0972","-111.9972","1359.4","LAYTON, UT US","   86",",,7,1700","  127",",,7","   51",",,7","   61",",,7","  -39",",,7","    6",",,7,1700",,,,,,,,
"USC00424970","2011-02-27","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","   25",",,7","   11",",,7","  -61",",,7","   -6",",,7,1700",,,,,,,,
"USC00424970","2011-02-28","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0","T,,7","   67",",,7","  -56",",,7","   56",",,7,1700",,,,,,,,
"USC00424970","2011-03-01","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  117",",,7","  -28",",,7","   89",",,7,1700",,,,,,,,
"USC00424970","2011-03-02","41.0972","-111.9972","1359.4","LAYTON, UT US","    0","T,,7,1700","    0",",,7","    0",",,7","  106",",,7","  -17",",,7","  106",",,7,1700",,,,,,,,
"USC00424970","2011-03-03","41.0972","-111.9972","1359.4","LAYTON, UT US","   66",",,7,1700","    0","T,,7","    0",",,7","  106",",,7","   11",",,7","   56",",,7,1700",,,"    1",",,7",,,,
"USC00424970","2011-03-04","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   89",",,7","  -22",",,7","   67",",,7,1700",,,,,,,,
"USC00424970","2011-03-05","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  117",",,7","    6",",,7","  111",",,7,1700",,,,,,,,
"USC00424970","2011-03-06","41.0972","-111.9972","1359.4","LAYTON, UT US","   23",",,7,1700","    0",",,7","    0",",,7","  111",",,7","   44",",,7","   50",",,7,1700",,,,,,,,
"USC00424970","2011-03-07","41.0972","-111.9972","1359.4","LAYTON, UT US","  107",",,7,1700","    0",",,7","    0",",,7","   83",",,7","   17",",,7","   22",",,7,1700",,,,,,,,
"USC00424970","2011-03-08","41.0972","-111.9972","1359.4","LAYTON, UT US","  168",",,7,1700","  168",",,7","   51",",,7","   39",",,7","  -44",",,7","   22",",,7,1700",,,,,,,,
"USC00424970","2011-03-09","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  117",",,7","   11",",,7","  111",",,7,1700",,,,,,,,
"USC00424970","2011-03-10","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  178",",,7","    6",",,7","  161",",,7,1700",,,,,,,,
"USC00424970","2011-03-11","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  161",",,7","   39",",,7","   94",",,7,1700",,,,,,,,
"USC00424970","2011-03-12","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  161",",,7","   22",",,7","  100",",,7,1700",,,,,,,,
"USC00424970","2011-03-13","41.0972","-111.9972","1359.4","LAYTON, UT US","   18",",,7,1700","    0",",,7","    0",",,7","  139",",,7","   -6",",,7","  133",",,7,1700",,,,,,,,
"USC00424970","2011-03-14","41.0972","-111.9972","1359.4","LAYTON, UT US","    5",",,7,1700","    0",",,7","    0",",,7","  133",",,7","   56",",,7","  111",",,7,1700",,,,,,,,
"USC00424970","2011-03-15","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  156",",,7","   33",",,7","  139",",,7,1700",,,,,,,,
"USC00424970","2011-03-16","41.0972","-111.9972","1359.4","LAYTON, UT US","   20",",,7,1700","    0",",,7","    0",",,7","  156",",,7","   78",",,7","   83",",,7,1700",,,,,,,,
"USC00424970","2011-03-17","41.0972","-111.9972","1359.4","LAYTON, UT US","   53",",,7,1700","    0",",,7","    0",",,7","   83",",,7","  -17",",,7","   72",",,7,1700",,,,,,,,
"USC00424970","2011-03-18","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  156",",,7","  -11",",,7","  122",",,7,1700",,,,,,,,
"USC00424970","2011-03-19","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  122",",,7","   50",",,7","   61",",,7,1700",,,,,,,,
"USC00424970","2011-03-20","41.0972","-111.9972","1359.4","LAYTON, UT US","    0","T,,7,1700","    0",",,7","    0",",,7","  100",",,7","    0",",,7","   83",",,7,1700",,,,,,,,
"USC00424970","2011-03-21","41.0972","-111.9972","1359.4","LAYTON, UT US","    5",",,7,1700","    0",",,7","    0",",,7","  100",",,7","   33",",,7","   78",",,7,1700",,,,,,,,
"USC00424970","2011-03-22","41.0972","-111.9972","1359.4","LAYTON, UT US","   46",",,7,1700","   41",",,7","    0",",,7","   89",",,7","    0",",,7","   72",",,7,1700",,,,,,,,
"USC00424970","2011-03-23","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  128",",,7","  -28",",,7","  122",",,7,1700",,,,,,,,
"USC00424970","2011-03-24","41.0972","-111.9972","1359.4","LAYTON, UT US","   48",",,7,1700","    0",",,7","    0",",,7","  122",",,7","   33",",,7","   72",",,7,1700",,,,,,,,
"USC00424970","2011-03-25","41.0972","-111.9972","1359.4","LAYTON, UT US","   56",",,7,1700","   30",",,7","    0",",,7","   89",",,7","    0",",,7","   44",",,7,1700",,,,,,,,
"USC00424970","2011-03-26","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   94",",,7","  -33",",,7","   78",",,7,1700",,,,,,,,
"USC00424970","2011-03-27","41.0972","-111.9972","1359.4","LAYTON, UT US","  104",",,7,1700","   61",",,7","    0",",,7","   83",",,7","    0",",,7","   78",",,7,1700",,,,,,,,
"USC00424970","2011-03-28","41.0972","-111.9972","1359.4","LAYTON, UT US","   15",",,7,1700","    5",",,7","    0",",,7","   83",",,7","    6",",,7","   33",",,7,1700",,,,,,,,
"USC00424970","2011-03-29","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   94",",,7","   22",",,7","   67",",,7,1700",,,,,,,,
"USC00424970","2011-03-30","41.0972","-111.9972","1359.4","LAYTON, UT US","    0","T,,7,1700","    0",",,7","    0",",,7","   94",",,7","   39",",,7","   94",",,7,1700",,,,,,,,
"USC00424970","2011-03-31","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  183",",,7","   39",",,7","  178",",,7,1700",,,,,,,,
"USC00424970","2011-04-01","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  200",",,7","   39",",,7","  183",",,7,1700",,,,,,,,
"USC00424970","2011-04-02","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7",,,"  194",",,7","   83",",,7","  172",",,7,1700",,,,,,,,
"USC00424970","2011-04-03","41.0972","-111.9972","1359.4","LAYTON, UT US","  109",",,7,1700","   18",",,7","    0",",,7","  178",",,7","  -11",",,7","   22",",,7,1700",,,"    1",",,7",,,,
"USC00424970","2011-04-04","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","   94",",,7","   22",",,7","   89",",,7,1700",,,,,,,,
"USC00424970","2011-04-05","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  167",",,7","   22",",,7","   83",",,7,1700",,,,,,,,
"USC00424970","2011-04-06","41.0972","-111.9972","1359.4","LAYTON, UT US","   20",",,7,1700","    0",",,7","    0",",,7","  128",",,7","    0",",,7","   17",",,7,1700",,,,,,,,
"USC00424970","2011-04-07","41.0972","-111.9972","1359.4","LAYTON, UT US","  208",",,7,1700","  104",",,7","   51",",,7","   22",",,7","   -6",",,7","    6",",,7,1700",,,"    1",",,7","    1",",,7",,
"USC00424970","2011-04-08","41.0972","-111.9972","1359.4","LAYTON, UT US","  208",",,7,1700","  104",",,7","   51",",,7","   22",",,7","   -6",",,7","    6",",,7,1700",,,,,,,,
"USC00424970","2011-04-09","41.0972","-111.9972","1359.4","LAYTON, UT US","   63",",,7,1700","    0","T,,7","   25",",,7","   22",",,7","   -6",",,7","   11",",,7,1700",,,,,,,,
"USC00424970","2011-04-10","41.0972","-111.9972","1359.4","LAYTON, UT US","   76",",,7,1700","   30",",,7","    0",",,7","  100",",,7","   -6",",,7","   83",",,7,1700",,,"    1",",,7","    1",",,7",,
"USC00424970","2011-04-11","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  150",",,7","   11",",,7","  139",",,7,1700",,,,,,,,
"USC00424970","2011-04-12","41.0972","-111.9972","1359.4","LAYTON, UT US","    0","T,,7,1700","    0",",,7","    0",",,7","  150",",,7","   61",",,7","  122",",,7,1700",,,,,,,,
"USC00424970","2011-04-13","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  172",",,7","   17",",,7","  133",",,7,1700",,,,,,,,
"USC00424970","2011-04-14","41.0972","-111.9972","1359.4","LAYTON, UT US","   97",",,7,1700","    5",",,7","    0",",,7","  139",",,7","    6",",,7","   83",",,7,1700",,,,,,,,
"USC00424970","2011-04-15","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  139",",,7","  -17",",,7","  128",",,7,1700",,,,,,,,
"USC00424970","2011-04-16","41.0972","-111.9972","1359.4","LAYTON, UT US","   10",",,7,1700","    0",",,7","    0",",,7","  172",",,7","   78",",,7","  167",",,7,1700",,,,,,,,
"USC00424970","2011-04-17","41.0972","-111.9972","1359.4","LAYTON, UT US","   20",",,7,1700","    0",",,7","    0",",,7","  172",",,7","  106",",,7","  144",",,7,1700",,,,,,,,
"USC00424970","2011-04-18","41.0972","-111.9972","1359.4","LAYTON, UT US","  117",",,7,1700","    0",",,7","    0",",,7","  144",",,7","   61",",,7","   89",",,7,1700",,,,,,,,
"USC00424970","2011-04-19","41.0972","-111.9972","1359.4","LAYTON, UT US","   89",",,7,1700","    0",",,7","    0",",,7","  100",",,7","   17",",,7","   89",",,7,1700",,,,,,,,
"USC00424970","2011-04-20","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  139",",,7","   28",",,7","  133",",,7,1700",,,,,,,,
"USC00424970","2011-04-21","41.0972","-111.9972","1359.4","LAYTON, UT US","   13",",,7,1700","    0",",,7",,,"  161",",,7","   44",",,7","  100",",,7,1700",,,"    1",",,7",,,"    1",",,7"
"USC00424970","2011-04-22","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  100",",,7","   -6",",,7","   78",",,7,1700",,,,,,,,
"USC00424970","2011-04-23","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  111",",,7","    0",",,7","   89",",,7,1700",,,,,,,,
"USC00424970","2011-04-24","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  133",",,7","    6",",,7","  122",",,7,1700",,,,,,,,
"USC00424970","2011-04-25","41.0972","-111.9972","1359.4","LAYTON, UT US","    3",",,7,1700","    0",",,7","    0",",,7","  133",",,7","   56",",,7","  117",",,7,1700",,,,,,,,
"USC00424970","2011-04-26","41.0972","-111.9972","1359.4","LAYTON, UT US","   63",",,7,1700","    0",",,7","    0",",,7","  117",",,7","   11",",,7","   78",",,7,1700",,,"    1",",,7","    1",",,7","    1",",,7"
"USC00424970","2011-04-27","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  117",",,7","  -17",",,7","  111",",,7,1700",,,,,,,,
"USC00424970","2011-04-28","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  183",",,7","   11",",,7","  178",",,7,1700",,,,,,,,
"USC00424970","2011-04-29","41.0972","-111.9972","1359.4","LAYTON, UT US","   15",",,7,1700","    0","T,,7","    0",",,7","  178",",,7","   11",",,7","   28",",,7,1700",,,,,,,,
"USC00424970","2011-04-30","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  111",",,7","  -11",",,7","   89",",,7,1700",,,,,,,,
"USC00424970","2011-05-01","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  128",",,7","    0",",,7","  106",",,7,1700",,,,,,,,
"USC00424970","2011-05-02","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  150",",,7","   11",",,7","  150",",,7,1700",,,,,,,,
"USC00424970","2011-05-03","41.0972","-111.9972","1359.4","LAYTON, UT US","    0","T,,7,1700","    0",",,7","    0",",,7","  167",",,7","   67",",,7","  133",",,7,1700",,,,,,,,
"USC00424970","2011-05-04","41.0972","-111.9972","1359.4","LAYTON, UT US","    0","T,,7,1700","    0",",,7","    0",",,7","  139",",,7","    0",",,7","  128",",,7,1700",,,,,,,,
"USC00424970","2011-05-05","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  222",",,7","   17",",,7","  217",",,7,1700",,,,,,,,
"USC00424970","2011-05-06","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  217",",,7","  100",",,7","  200",",,7,1700",,,,,,,,
"USC00424970","2011-05-07","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  222",",,7","   94",",,7","  211",",,7,1700",,,,,,,,
"USC00424970","2011-05-08","41.0972","-111.9972","1359.4","LAYTON, UT US","   56",",,7,1700","    0",",,7","    0",",,7","  211",",,7","   72",",,7","   72",",,7,1700",,,,,,,,
"USC00424970","2011-05-09","41.0972","-111.9972","1359.4","LAYTON, UT US","  155",",,7,1700","    0",",,7","    0",",,7","   72",",,7","   39",",,7","   50",",,7,1700",,,,,,,,
"USC00424970","2011-05-10","41.0972","-111.9972","1359.4","LAYTON, UT US","   53",",,7,1700","    0",",,7","    0",",,7","  111",",,7","   44",",,7","  100",",,7,1700",,,,,,,,
"USC00424970","2011-05-11","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  156",",,7","   33",",,7","  156",",,7,1700",,,,,,,,
"USC00424970","2011-05-12","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  211",",,7","   44",",,7","  206",",,7,1700",,,,,,,,
"USC00424970","2011-05-13","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  261",",,7","   89",",,7","  244",",,7,1700",,,,,,,,
"USC00424970","2011-05-14","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  250",",,7","  117",",,7","  189",",,7,1700",,,,,,,,
"USC00424970","2011-05-15","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  256",",,7","  117",",,7","  244",",,7,1700",,,,,,,,
"USC00424970","2011-05-16","41.0972","-111.9972","1359.4","LAYTON, UT US","    0",",,7,1700","    0",",,7","    0",",,7","  244",",,7","   50",",,7","   94",",,7,1700",,,,,,,,
"USC00424970","2011-05-17","41.0972","-111.9972","1359.4","LAYTON, UT US","  193",",,7,1700","    0",",,7","    0",",,7","  117",",,7","   22",",,7","  111",",,7,1700",,,,,,,,
"USC00424970","2011-05-18","41.0972","-111.9972","1359.4","LAYTON, UT US","   94",",,7,1700","    0",",,7","    0",",,7","  111",",,7","   67",",,7","   67",",,7,1700",,,,,,,,
"USC00424970","2011-05-19","41.0972","-111.9972","1359.4","LAYTON, UT US","  127",",,7,1700","    0",",,7","    0",",,7","  144",",,7","   50",",,7","  128",",,7,1700",,,,,,,,
