"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00013755","1945-04-12","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  189",",,X","  122",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-04-13","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  222",",,X","  122",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-04-14","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","  183",",,X","    0",",,X",,,"  256",",,X","  172",",,X",,,,,,,,,"    1",",,X","    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-04-15","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    3",",,X","    0",",,X",,,"  172",",,X","  117",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-04-16","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   15",",,X","    0",",,X",,,"  156",",,X","  106",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,
"USW00013755","1945-04-17","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   97",",,X","    0",",,X",,,"  200",",,X","  144",",,X",,,,,,,,,"    1",",,X","    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-04-18","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    5",",,X","    0",",,X",,,"  200",",,X","  133",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-04-19","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  139",",,X","   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-04-20","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   51",",,X","    0",",,X",,,"  150",",,X","  100",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,
"USW00013755","1945-04-21","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   13",",,X","    0",",,X",,,"  189",",,X","   89",",,X",,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-04-22","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  150",",,X","   50",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-04-23","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  128",",,X","   56",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-04-24","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   48",",,X","    0",",,X",,,"  150",",,X","  111",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-04-25","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   28",",,X","    0",",,X",,,"  200",",,X","  139",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,
"USW00013755","1945-04-26","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  211",",,X","  133",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-04-27","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  183",",,X","  100",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-04-28","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  144",",,X","   56",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-04-29","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  128",",,X","  100",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-04-30","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  161",",,X","   61",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-05-01","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    8",",,X","    0",",,X",,,"  139",",,X","   50",",,X",,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,,"    1",",,X",,
"USW00013755","1945-05-02","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    5",",,X","    0",",,X",,,"  117",",,X","   22",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00013755","1945-05-03","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","  188",",,X","    0",",,X",,,"  150",",,X","   89",",,X",,,,,,,,,"    1",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,
"USW00013755","1945-05-04","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   18",",,X","    0",",,X",,,"  150",",,X","   89",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,
"USW00013755","1945-05-05","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  167",",,X","   78",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-05-06","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  161",",,X","   78",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-05-07","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  189",",,X","   83",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-05-08","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   18",",,X","    0",",,X",,,"  217",",,X","  117",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-05-09","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  211",",,X","   83",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-05-10","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","  102",",,X","    0",",,X",,,"  200",",,X","  111",",,X",,,,,,,,,"    1",",,X","    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-05-11","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  156",",,X","   56",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-05-12","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  178",",,X","   94",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-05-13","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  244",",,X","  150",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-05-14","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US",,,"    0",",,X",,,"  206",",,X","  144",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-05-15","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  244",",,X","  150",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-05-16","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  283",",,X","  178",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-05-17","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    8",",,X","    0",",,X",,,"  228",",,X","  167",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-05-18","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","  251",",,X","    0",",,X",,,"  222",",,X","  156",",,X",,,,,,,,,"    1",",,X","    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-05-19","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  172",",,X","  111",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00013755","1945-05-20","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  178",",,X","   72",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-05-21","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  189",",,X","  117",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-05-22","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","  140",",,X","    0",",,X",,,"  261",",,X","  161",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-05-23","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  233",",,X","  133",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-05-24","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  200",",,X","  117",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-05-25","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  211",",,X","  122",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-05-26","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   38",",,X","    0",",,X",,,"  172",",,X","  156",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-05-27","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    3",",,X","    0",",,X",,,"  206",",,X","  156",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00013755","1945-05-28","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    3",",,X","    0",",,X",,,"  217",",,X","  172",",,X",,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-05-29","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  256",",,X","  194",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-05-30","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  244",",,X","  178",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-05-31","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  250",",,X","  161",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-06-01","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  172",",,X","  150",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-06-02","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","  203",",,X","    0",",,X",,,"  228",",,X","  156",",,X",,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-06-03","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","  117",",,X","    0",",,X",,,"  267",",,X","  178",",,X",,,,,,,,,,,"    1",",,X",,,,,,,,,,,"    1",",,X",,
"USW00013755","1945-06-04","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  189",",,X","  139",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-06-05","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  167",",,X","  106",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-06-06","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  189",",,X","   78",",,X",,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00013755","1945-06-07","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  217",",,X","  111",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-06-08","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  194",",,X","  156",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-06-09","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  200",",,X","  161",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-06-10","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","  168",",,X","    0",",,X",,,"  244",",,X","  178",",,X",,,,,,,,,"    1",",,X","    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-06-11","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","  249",",,X","    0",",,X",,,"  322",",,X","  189",",,X",,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-06-12","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   10",",,X","    0",",,X",,,"  300",",,X","  228",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-06-13","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0","T,,X","    0",",,X",,,"  278",",,X","  211",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-06-14","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  339",",,X","  239",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-06-15","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  322",",,X","  244",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-06-16","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  328",",,X","  233",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013755","1945-06-17","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  317",",,X","  239",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-06-18","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    3",",,X","    0",",,X",,,"  289",",,X","  233",",,X",,,,,,,,,"    1",",,X","    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-06-19","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","   58",",,X","    0",",,X",,,"  278",",,X","  206",",,X",,,,,,,,,"    1",",,X","    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-06-20","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    3",",,X","    0",",,X",,,"  283",",,X","  206",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00013755","1945-06-21","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","    0",",,X","    0",",,X",,,"  272",",,X","  211",",,X",,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00013755","1945-06-22","37.93333","-75.43333","14.9","CHINCOTEAGUE NAS, VA US","  155",",,X","    0",",,X",,,"  261",",,X","  189",",,X",,,,,,,,,"    1",",,X","    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,
