"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00502493","1917-06-22","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  222",",,6","   11",",,6","  183",",,6",,,,
"USC00502493","1917-06-23","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  211",",,6","   22",",,6","  183",",,6",,,,
"USC00502493","1917-06-24","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  200",",,6","   50",",,6","  172",",,6",,,,
"USC00502493","1917-06-25","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  200",",,6","  111",",,6","  250",",I,6",,,,
"USC00502493","1917-06-26","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  222",",,6","   89",",,6","  183",",,6",,,,
"USC00502493","1917-06-27","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  183",",,6","   78",",,6","  106",",,6","    1",",,6",,
"USC00502493","1917-06-28","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  178",",,6","   11",",,6","  156",",,6",,,,
"USC00502493","1917-06-29","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  200",",,6","   17",",,6","  178",",,6",,,,
"USC00502493","1917-06-30","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  233",",,6","   72",",,6","  211",",,6",,,,
"USC00502493","1917-07-01","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  211",",,6","  111",",,6","  128",",,6",,,,
"USC00502493","1917-07-02","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  189",",,6","   67",",,6","  156",",,6",,,,
"USC00502493","1917-07-03","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  183",",,6","   -6",",,6","  139",",,6",,,,
"USC00502493","1917-07-04","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  178",",,6","   78",",,6","  156",",,6",,,,
"USC00502493","1917-07-05","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  167",",,6","   78",",,6","  139",",,6",,,,
"USC00502493","1917-07-06","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  156",",,6","   72",",,6","  139",",,6","    1",",,6",,
"USC00502493","1917-07-07","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  156",",,6","   72",",,6","  156",",,6","    1",",,6",,
"USC00502493","1917-07-08","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  189",",,6","   33",",,6","  172",",,6","    1",",,6",,
"USC00502493","1917-07-09","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  189",",,6","   33",",,6","  183",",,6","    1",",,6",,
"USC00502493","1917-07-10","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  189",",,6","  111",",,6","  156",",,6",,,,
"USC00502493","1917-07-11","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  183",",,6","  106",",,6","  156",",,6",,,,
"USC00502493","1917-07-12","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  156",",,6","   56",",,6","   94",",,6",,,,
"USC00502493","1917-07-13","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  128",",,6","   44",",,6",,,,,,
"USC00502493","1917-07-14","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  178",",,6","  100",",,6",,,,,,
"USC00502493","1917-07-15","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  156",",,6","   72",",,6","  133",",,6",,,,
"USC00502493","1917-07-16","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  211",",,6","   44",",,6","  156",",,6",,,,
"USC00502493","1917-07-17","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  156",",,6","   56",",,6","   67",",,6",,,,
"USC00502493","1917-07-18","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  100",",,6","  -11",",,6","   89",",,6",,,,
"USC00502493","1917-07-19","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  122",",,6","   56",",,6","   89",",,6",,,,
"USC00502493","1917-07-20","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  106",",,6","   94",",I,6","   72",",I,6",,,,
"USC00502493","1917-07-21","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  133",",,6","   50",",,6","   50",",,6",,,,
"USC00502493","1917-07-22","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  156",",,6","   56",",,6","  100",",,6",,,,
"USC00502493","1917-07-23","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  211",",,6","   56",",,6","  100",",,6",,,,
"USC00502493","1917-07-24","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  156",",,6","   22",",,6","   83",",,6",,,,
"USC00502493","1917-07-25","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  106",",,6","   22",",,6","   89",",,6",,,,
"USC00502493","1917-07-26","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  144",",,6","   61",",,6","  111",",,6",,,,
"USC00502493","1917-07-27","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  150",",,6","    0",",,6","  144",",,6",,,,
"USC00502493","1917-07-28","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  200",",,6","    0",",,6","  172",",,6",,,,
"USC00502493","1917-07-29","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  211",",,6","   89",",,6","  156",",,6",,,,
"USC00502493","1917-07-30","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  167",",,6","   17",",,6","  150",",,6",,,,
"USC00502493","1917-07-31","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  156",",,6","   67",",,6","  100",",,6",,,,
"USC00502493","1917-08-01","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  156",",,6","   67",",,6","  128",",,6",,,,
"USC00502493","1917-08-02","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  200",",,6","   44",",,6","  189",",,6",,,,
"USC00502493","1917-08-03","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  211",",,6","   89",",,6","  200",",,6",,,,
"USC00502493","1917-08-04","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  256",",,6","  100",",,6","  211",",,6",,,,
"USC00502493","1917-08-05","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  211",",,6","   83",",,6","  194",",,6",,,,
"USC00502493","1917-08-06","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  194",",,6","   56",",,6","  178",",,6",,,,
"USC00502493","1917-08-07","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  256",",,6","   22",",,6","  233",",,6",,,,
"USC00502493","1917-08-09","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  233",",,6","   72",",,6","  183",",,6",,,,
"USC00502493","1917-08-10","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  183",",,6","  128",",,6","  156",",,6",,,,
"USC00502493","1917-08-11","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  172",",,6","  100",",,6","  128",",,6",,,,
"USC00502493","1917-08-12","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  172",",,6","   61",",,6","  206",",I,6",,,,
"USC00502493","1917-08-13","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  183",",,6","   67",",,6","  178",",,6",,,,
"USC00502493","1917-08-14","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  194",",,6","  128",",,6","  194",",,6",,,,
"USC00502493","1917-08-15","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  233",",,6",,,"  222",",,6",,,,
"USC00502493","1917-08-16","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  306",",,6","   94",",,6","  178",",,6",,,,
"USC00502493","1917-08-17","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  239",",,6","   39",",,6","  183",",,6",,,,
"USC00502493","1917-08-18","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  222",",,6","  111",",,6","  200",",,6",,,,
"USC00502493","1917-08-19","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  239",",,6","   67",",,6","  194",",,6",,,,
"USC00502493","1917-08-20","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  233",",,6","   11",",,6","   89",",,6",,,,
"USC00502493","1917-08-21","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  222",",,6","   44",",,6","  183",",,6",,,,
"USC00502493","1917-08-22","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  206",",,6","   -6",",,6","  128",",,6",,,,
"USC00502493","1917-08-23","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  167",",,6","  -17",",,6","  144",",,6",,,,
"USC00502493","1917-08-24","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  189",",,6","   72",",,6","  139",",,6",,,,
"USC00502493","1917-08-25","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  150",",,6","   78",",,6","  122",",,6",,,,
"USC00502493","1917-08-26","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  183",",,6","  100",",,6","  156",",,6",,,,
"USC00502493","1917-08-27","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  228",",,6","   50",",,6","  156",",,6",,,,
"USC00502493","1917-08-28","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  167",",,6","  100",",,6","  150",",,6",,,,
"USC00502493","1917-08-29","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  194",",,6","   67",",,6","  128",",,6",,,,
"USC00502493","1917-08-30","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  167",",,6","   11",",,6","  139",",,6",,,,
"USC00502493","1917-08-31","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  194",",,6","   11",",,6","  178",",,6",,,,
"USC00502493","1917-09-01","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  183",",,6","  128",",,6","  167",",,6",,,,
"USC00502493","1917-09-02","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  183",",,6","   33",",,6","  172",",,6",,,,
"USC00502493","1917-09-03","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  194",",,6","  -11",",,6","  178",",,6",,,,
"USC00502493","1917-09-04","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  228",",,6","   22",",,6","  211",",,6",,,,
"USC00502493","1917-09-05","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  222",",,6","   17",",,6","  206",",,6",,,,
"USC00502493","1917-09-06","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  211",",,6","   22",",,6","  183",",,6",,,,
"USC00502493","1917-09-07","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  183",",,6","   50",",,6","  122",",,6","    1",",,6",,
"USC00502493","1917-09-08","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  156",",,6","   61",",,6","  128",",,6","    1",",,6",,
"USC00502493","1917-09-09","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  133",",,6","   89",",,6","  100",",,6",,,,
"USC00502493","1917-09-10","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  172",",,6","   94",",,6","  144",",,6",,,,
"USC00502493","1917-09-11","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  183",",,6","  122",",,6","  156",",,6",,,,
"USC00502493","1917-09-12","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  161",",,6","   39",",,6","  128",",,6",,,,
"USC00502493","1917-09-13","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  194",",,6","  -11",",,6","  161",",,6","    1",",,6",,
"USC00502493","1917-09-14","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  161",",,6","    0",",,6","  106",",,6",,,"    1",",,6"
"USC00502493","1917-09-15","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  111",",,6","  -28",",,6","   67",",,6",,,"    1",",,6"
"USC00502493","1917-09-16","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   78",",,6","  -44",",,6","   28",",,6",,,"    1",",,6"
"USC00502493","1917-09-17","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   61",",,6","  -50",",,6","   28",",,6",,,,
"USC00502493","1917-09-18","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   78",",,6","    0",",,6","   50",",,6",,,,
"USC00502493","1917-09-19","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   83",",,6","   11",",,6","   56",",,6",,,"    1",",,6"
"USC00502493","1917-09-20","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   67",",,6","  -39",",,6","   17",",,6",,,"    1",",,6"
"USC00502493","1917-09-21","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  122",",,6","   11",",,6","   67",",,6",,,,
"USC00502493","1917-09-22","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  100",",,6","   -6",",,6","   78",",,6",,,,
"USC00502493","1917-09-23","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   94",",,6","   11",",,6","   67",",,6",,,,
"USC00502493","1917-09-24","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   94",",,6","   39",",,6","   72",",,6",,,,
"USC00502493","1917-09-25","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   83",",,6","   28",",,6","   67",",,6",,,,
"USC00502493","1917-09-26","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   89",",,6","    6",",,6","   61",",,6",,,,
"USC00502493","1917-09-27","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"  100",",,6","   22",",,6","   33",",,6",,,,
"USC00502493","1917-09-28","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   89",",,6","  -61",",,6","   61",",,6",,,,
"USC00502493","1917-09-29","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   72",",,6","  -72",",,6","   44",",,6",,,,
"USC00502493","1917-09-30","63.6667","-145.9",,"DONNELLY, AK US",,,,,,,"   83",",,6","  -67",",,6","   50",",,6",,,,
"USC00502493","1917-10-01","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"   89",",,6"," -100",",,6",,,,,,
"USC00502493","1917-10-02","63.6667","-145.9",,"DONNELLY, AK US",,,"    0",",,6",,,"  111",",,6","  -28",",,6","   67",",,6",,,,
