"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00236263","1941-04-18","37.53333","-91.05",,"OATES TOWER, MO US","  406",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-04-20","37.53333","-91.05",,"OATES TOWER, MO US","  127",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-04-23","37.53333","-91.05",,"OATES TOWER, MO US","    3",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-10-04","37.53333","-91.05",,"OATES TOWER, MO US"," 1186",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-10-09","37.53333","-91.05",,"OATES TOWER, MO US","  104",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-10-17","37.53333","-91.05",,"OATES TOWER, MO US","  356",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-10-26","37.53333","-91.05",,"OATES TOWER, MO US","   38",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-10-27","37.53333","-91.05",,"OATES TOWER, MO US","   99",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-11-01","37.53333","-91.05",,"OATES TOWER, MO US","  650",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-11-07","37.53333","-91.05",,"OATES TOWER, MO US","  305",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-11-14","37.53333","-91.05",,"OATES TOWER, MO US","   13",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-11-20","37.53333","-91.05",,"OATES TOWER, MO US","  279",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-11-23","37.53333","-91.05",,"OATES TOWER, MO US","  165",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-12-01","37.53333","-91.05",,"OATES TOWER, MO US","    8",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-12-02","37.53333","-91.05",,"OATES TOWER, MO US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-12-11","37.53333","-91.05",,"OATES TOWER, MO US","   10",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-12-12","37.53333","-91.05",,"OATES TOWER, MO US","  157",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-12-21","37.53333","-91.05",,"OATES TOWER, MO US","   33",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1941-12-22","37.53333","-91.05",,"OATES TOWER, MO US","  267",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-01-01","37.53333","-91.05",,"OATES TOWER, MO US","   33",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-01-04","37.53333","-91.05",,"OATES TOWER, MO US","    8",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-01-07","37.53333","-91.05",,"OATES TOWER, MO US","    3",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-01-18","37.53333","-91.05",,"OATES TOWER, MO US","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-01-26","37.53333","-91.05",,"OATES TOWER, MO US","  279",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-01-31","37.53333","-91.05",,"OATES TOWER, MO US","  432",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-02-03","37.53333","-91.05",,"OATES TOWER, MO US","   46",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-02-05","37.53333","-91.05",,"OATES TOWER, MO US","   10",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-02-06","37.53333","-91.05",,"OATES TOWER, MO US","  198",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-02-15","37.53333","-91.05",,"OATES TOWER, MO US","   64",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-02-16","37.53333","-91.05",,"OATES TOWER, MO US","   64",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-02-17","37.53333","-91.05",,"OATES TOWER, MO US","   89",",,6","   76",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-02-18","37.53333","-91.05",,"OATES TOWER, MO US","   13",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-02-23","37.53333","-91.05",,"OATES TOWER, MO US","  188",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-02-24","37.53333","-91.05",,"OATES TOWER, MO US","  140",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-03-02","37.53333","-91.05",,"OATES TOWER, MO US","   20",",,6","   51",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-03-07","37.53333","-91.05",,"OATES TOWER, MO US","  396",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-03-08","37.53333","-91.05",,"OATES TOWER, MO US","    5",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-03-13","37.53333","-91.05",,"OATES TOWER, MO US","  119",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-03-14","37.53333","-91.05",,"OATES TOWER, MO US","  178",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-03-20","37.53333","-91.05",,"OATES TOWER, MO US","   10",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-03-25","37.53333","-91.05",,"OATES TOWER, MO US","  122",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-03-26","37.53333","-91.05",,"OATES TOWER, MO US","    5",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1942-03-30","37.53333","-91.05",,"OATES TOWER, MO US","    0","T,,6","    0","T,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-01","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-02","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-03","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-04","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-05","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-06","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-07","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-08","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-09","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-10","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-11","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-12","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-13","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-14","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-15","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-16","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-17","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-18","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-19","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-20","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-21","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-22","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-23","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-24","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-25","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-26","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-27","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-28","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-29","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-30","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-10-31","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-01","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-02","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-03","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-04","37.53333","-91.05",,"OATES TOWER, MO US","  279",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-05","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-06","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-07","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-08","37.53333","-91.05",,"OATES TOWER, MO US","   25",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-09","37.53333","-91.05",,"OATES TOWER, MO US","   41",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-10","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-11","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-12","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-13","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-14","37.53333","-91.05",,"OATES TOWER, MO US","   43",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-15","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-16","37.53333","-91.05",,"OATES TOWER, MO US","   89",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-17","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-18","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-19","37.53333","-91.05",,"OATES TOWER, MO US","   38",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-20","37.53333","-91.05",,"OATES TOWER, MO US","   64",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-21","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-22","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-23","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-24","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-25","37.53333","-91.05",,"OATES TOWER, MO US","   53",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-26","37.53333","-91.05",,"OATES TOWER, MO US","   13",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-27","37.53333","-91.05",,"OATES TOWER, MO US","    8",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-28","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-29","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-11-30","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-01","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-02","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-03","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-04","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-05","37.53333","-91.05",,"OATES TOWER, MO US","   15",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-06","37.53333","-91.05",,"OATES TOWER, MO US","  114",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-07","37.53333","-91.05",,"OATES TOWER, MO US","  145",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-08","37.53333","-91.05",,"OATES TOWER, MO US","  119",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-09","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,6"
"USC00236263","1944-12-10","37.53333","-91.05",,"OATES TOWER, MO US","   64",",,6","   64",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-11","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-12","37.53333","-91.05",,"OATES TOWER, MO US","   25",",,6","   25",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-13","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-14","37.53333","-91.05",,"OATES TOWER, MO US","    8",",,6","    8",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-15","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-16","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-17","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-18","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-19","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-20","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-21","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-22","37.53333","-91.05",,"OATES TOWER, MO US","    0","T,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-23","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-24","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-25","37.53333","-91.05",,"OATES TOWER, MO US","    8",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-26","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-27","37.53333","-91.05",,"OATES TOWER, MO US","  102",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-28","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-29","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-30","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1944-12-31","37.53333","-91.05",,"OATES TOWER, MO US","    5",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1945-01-01","37.53333","-91.05",,"OATES TOWER, MO US","    0","P,,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00236263","1945-01-02","37.53333","-91.05",,"OATES TOWER, MO US","   64",",,6","   38",",,6","   51",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
