"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USC00355689","1898-04-12","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  239",",,6","   50",",,6",,
"USC00355689","1898-04-13","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  189",",,6","   50",",,6",,
"USC00355689","1898-04-14","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  167",",,6","   56",",,6",,
"USC00355689","1898-04-15","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  178",",,6","   17",",,6",,
"USC00355689","1898-04-16","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  183",",,6","   44",",,6",,
"USC00355689","1898-04-17","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  156",",,6","   50",",,6",,
"USC00355689","1898-04-18","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  156",",,6","  -17",",,6",,
"USC00355689","1898-04-19","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  189",",,6","   56",",,6",,
"USC00355689","1898-04-20","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  111",",,6","   61",",,6",,
"USC00355689","1898-04-21","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  133",",,6","   72",",,6",,
"USC00355689","1898-04-22","44.85","-123.23333","61.0","MONMOUTH, OR US","  203",",,6",,,,,"  167",",,6","   72",",,6",,
"USC00355689","1898-04-23","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  200",",,6","   72",",,6",,
"USC00355689","1898-04-24","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  261",",,6","   56",",,6",,
"USC00355689","1898-04-25","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  194",",,6","   67",",,6",,
"USC00355689","1898-04-26","44.85","-123.23333","61.0","MONMOUTH, OR US","   33",",,6",,,,,"  150",",,6","   72",",,6",,
"USC00355689","1898-04-27","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  189",",,6","   39",",,6",,
"USC00355689","1898-04-28","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  194",",,6","   39",",,6",,
"USC00355689","1898-04-29","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  144",",,6","   83",",,6",,
"USC00355689","1898-04-30","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  189",",,6","   83",",,6",,
"USC00355689","1898-05-01","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  256",",,6","   89",",,6",,
"USC00355689","1898-05-02","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  261",",,6","   83",",,6",,
"USC00355689","1898-05-03","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  261",",,6","   94",",,6",,
"USC00355689","1898-05-04","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  261",",,6","   44",",,6",,
"USC00355689","1898-05-05","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  167",",,6","   44",",,6",,
"USC00355689","1898-05-06","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  150",",,6","   50",",,6",,
"USC00355689","1898-05-07","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  178",",,6","    0",",,6",,
"USC00355689","1898-05-08","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  228",",,6","   17",",,6",,
"USC00355689","1898-05-09","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  244",",,6","   50",",,6",,
"USC00355689","1898-05-10","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  222",",,6","   44",",,6",,
"USC00355689","1898-05-11","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  200",",,6","   44",",,6",,
"USC00355689","1898-05-12","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  233",",,6","   22",",,6",,
"USC00355689","1898-05-13","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  222",",,6","   44",",,6",,
"USC00355689","1898-05-14","44.85","-123.23333","61.0","MONMOUTH, OR US","   13",",,6",,,,,"  106",",,6","   50",",,6",,
"USC00355689","1898-05-15","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  217",",,6","   83",",,6",,
"USC00355689","1898-05-16","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  183",",,6","   78",",,6",,
"USC00355689","1898-05-17","44.85","-123.23333","61.0","MONMOUTH, OR US","    8",",,6",,,,,"  161",",,6","   56",",,6",,
"USC00355689","1898-05-18","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  161",",,6","   33",",,6",,
"USC00355689","1898-05-19","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  161",",,6","   22",",,6",,
"USC00355689","1898-05-20","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  167",",,6","   28",",,6",,
"USC00355689","1898-05-21","44.85","-123.23333","61.0","MONMOUTH, OR US","  119",",,6",,,,,"  161",",,6","   78",",,6",,
"USC00355689","1898-05-22","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  144",",,6","   56",",,6",,
"USC00355689","1898-05-23","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  156",",,6","    0",",,6",,
"USC00355689","1898-05-24","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  200",",,6","   17",",,6",,
"USC00355689","1898-05-25","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  306",",,6","   22",",,6",,
"USC00355689","1898-05-26","44.85","-123.23333","61.0","MONMOUTH, OR US","    3",",,6",,,,,"  183",",,6","   72",",,6",,
"USC00355689","1898-05-27","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  172",",,6","   56",",,6",,
"USC00355689","1898-05-28","44.85","-123.23333","61.0","MONMOUTH, OR US","   46",",,6",,,,,"  156",",,6","   72",",,6",,
"USC00355689","1898-05-29","44.85","-123.23333","61.0","MONMOUTH, OR US","   46",",,6",,,,,"  161",",,6","   72",",,6",,
"USC00355689","1898-05-30","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  156",",,6","   56",",,6",,
"USC00355689","1898-05-31","44.85","-123.23333","61.0","MONMOUTH, OR US","   69",",,6",,,,,"  133",",,6","   61",",,6",,
"USC00355689","1898-09-01","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  256",",,6","   67",",,6",,
"USC00355689","1898-09-02","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  233",",,6","   72",",,6",,
"USC00355689","1898-09-03","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  228",",,6","   72",",,6",,
"USC00355689","1898-09-04","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  244",",,6","   44",",,6",,
"USC00355689","1898-09-05","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  317",",,6","   61",",,6",,
"USC00355689","1898-09-06","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  339",",,6","  156",",,6",,
"USC00355689","1898-09-07","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  339",",,6","   94",",,6",,
"USC00355689","1898-09-08","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  233",",,6","   61",",,6",,
"USC00355689","1898-09-09","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  233",",,6","  100",",,6",,
"USC00355689","1898-09-10","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  228",",,6","   72",",,6",,
"USC00355689","1898-09-11","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  228",",,6","  133",",,6",,
"USC00355689","1898-09-12","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  250",",,6","   39",",,6",,
"USC00355689","1898-09-13","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  250",",,6","   61",",,6",,
"USC00355689","1898-09-14","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  256",",,6","  111",",,6",,
"USC00355689","1898-09-15","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  278",",,6","   89",",,6",,
"USC00355689","1898-09-16","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  317",",,6","   89",",,6",,
"USC00355689","1898-09-17","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  311",",,6","  100",",,6",,
"USC00355689","1898-09-18","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  294",",,6","   83",",,6",,
"USC00355689","1898-09-19","44.85","-123.23333","61.0","MONMOUTH, OR US","    5",",,6",,,,,"  289",",,6","  128",",,6",,
"USC00355689","1898-09-20","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  239",",,6","   83",",,6",,
"USC00355689","1898-09-21","44.85","-123.23333","61.0","MONMOUTH, OR US","  503",",,6",,,,,"  200",",,6","  122",",,6",,
"USC00355689","1898-09-22","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  194",",,6","  117",",,6",,
"USC00355689","1898-09-23","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  200",",,6","   78",",,6",,
"USC00355689","1898-09-24","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  239",",,6","  122",",,6",,
"USC00355689","1898-09-25","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  267",",,6","   72",",,6",,
"USC00355689","1898-09-26","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  239",",,6","   94",",,6",,
"USC00355689","1898-09-27","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  194",",,6","  111",",,6",,
"USC00355689","1898-09-28","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  150",",,6","   44",",,6",,
"USC00355689","1898-09-29","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  150",",,6","   72",",,6",,
"USC00355689","1898-09-30","44.85","-123.23333","61.0","MONMOUTH, OR US","  343",",,6",,,,,"  139",",,6","   67",",,6",,
"USC00355689","1898-10-01","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"   94",",,6","   61",",,6",,
"USC00355689","1898-10-02","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"   83",",,6","   50",",,6",,
"USC00355689","1898-10-03","44.85","-123.23333","61.0","MONMOUTH, OR US","   25",",,6",,,,,"  156",",,6","   89",",,6",,
"USC00355689","1898-10-04","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  156",",,6","   44",",,6",,
"USC00355689","1898-10-05","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  139",",,6","   17",",,6",,
"USC00355689","1898-10-06","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  200",",,6","   61",",,6",,
"USC00355689","1898-10-07","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  211",",,6","   33",",,6",,
"USC00355689","1898-10-08","44.85","-123.23333","61.0","MONMOUTH, OR US","   38",",,6",,,,,"  217",",,6","   17",",,6",,
"USC00355689","1898-10-09","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  178",",,6","   72",",,6",,
"USC00355689","1898-10-10","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  150",",,6","   94",",,6",,
"USC00355689","1898-10-11","44.85","-123.23333","61.0","MONMOUTH, OR US","   25",",,6",,,,,"  167",",,6","   94",",,6",,
"USC00355689","1898-10-12","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  167",",,6","   67",",,6",,
"USC00355689","1898-10-13","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  211",",,6","   72",",,6",,
"USC00355689","1898-10-14","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  211",",,6","  100",",,6",,
"USC00355689","1898-10-15","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  156",",,6","    6",",,6",,
"USC00355689","1898-10-16","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  172",",,6","   17",",,6",,
"USC00355689","1898-10-17","44.85","-123.23333","61.0","MONMOUTH, OR US","   36",",,6",,,,,"  167",",,6","   44",",,6",,
"USC00355689","1898-10-18","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  161",",,6","   22",",,6",,
"USC00355689","1898-10-19","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  189",",,6","   22",",,6",,
"USC00355689","1898-10-20","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  194",",,6","   17",",,6",,
"USC00355689","1898-10-21","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  206",",,6","   22",",,6",,
"USC00355689","1898-10-22","44.85","-123.23333","61.0","MONMOUTH, OR US","   18",",,6",,,,,"  144",",,6","   78",",,6",,
"USC00355689","1898-10-23","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  133",",,6","   56",",,6",,
"USC00355689","1898-10-24","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  128",",,6","   33",",,6",,
"USC00355689","1898-10-25","44.85","-123.23333","61.0","MONMOUTH, OR US","   25",",,6",,,,,"  128",",,6","   22",",,6",,
"USC00355689","1898-10-26","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  133",",,6","   39",",,6",,
"USC00355689","1898-10-27","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  167",",,6","   61",",,6",,
"USC00355689","1898-10-28","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  161",",,6","   11",",,6",,
"USC00355689","1898-10-29","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  150",",,6","   17",",,6",,
"USC00355689","1898-10-30","44.85","-123.23333","61.0","MONMOUTH, OR US","   33",",,6",,,,,"  144",",,6","   28",",,6",,
"USC00355689","1898-10-31","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6",,,,,"  144",",,6","   39",",,6",,
"USC00355689","1898-11-01","44.85","-123.23333","61.0","MONMOUTH, OR US","  122",",,6",,,,,"  144",",,6","   22",",,6",,
"USC00355689","1898-11-02","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  122",",,6","   22",",,6",,
"USC00355689","1898-11-03","44.85","-123.23333","61.0","MONMOUTH, OR US","   10",",,6",,,,,"  128",",,6","   28",",,6",,
"USC00355689","1898-11-04","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  106",",,6","   72",",,6",,
"USC00355689","1898-11-05","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  117",",,6","   17",",,6",,
"USC00355689","1898-11-06","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  144",",,6","   28",",,6",,
"USC00355689","1898-11-07","44.85","-123.23333","61.0","MONMOUTH, OR US","   18",",,6",,,,,"  133",",,6","   -6",",,6",,
"USC00355689","1898-11-08","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"   50",",,6","   39",",,6",,
"USC00355689","1898-11-09","44.85","-123.23333","61.0","MONMOUTH, OR US","   20",",,6",,,,,"  128",",,6","   17",",,6",,
"USC00355689","1898-11-10","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,,,"   17",",,6",,
"USC00355689","1898-11-12","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"   94",",,6",,,,
"USC00355689","1898-11-13","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  117",",,6",,,,
"USC00355689","1898-11-14","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"   44",",,6",,,,
"USC00355689","1898-11-15","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  128",",,6","   44",",,6",,
"USC00355689","1898-11-16","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  100",",,6","  -11",",,6",,
"USC00355689","1898-11-17","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  133",",,6","  -11",",,6",,
"USC00355689","1898-11-18","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  100",",,6","   67",",,6",,
"USC00355689","1898-11-19","44.85","-123.23333","61.0","MONMOUTH, OR US","  457",",,6",,,,,"   89",",,6","   17",",,6",,
"USC00355689","1898-11-20","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"   83",",,6","   17",",,6",,
"USC00355689","1898-11-21","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  111",",,6","    6",",,6",,
"USC00355689","1898-11-22","44.85","-123.23333","61.0","MONMOUTH, OR US","  127",",,6",,,,,"   94",",,6","   67",",,6",,
"USC00355689","1898-11-23","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  111",",,6","   56",",,6",,
"USC00355689","1898-11-24","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  106",",,6","  -33",",,6",,
"USC00355689","1898-11-25","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"   72",",I,6","   17",",,6",,
"USC00355689","1898-11-26","44.85","-123.23333","61.0","MONMOUTH, OR US","  173",",,6",,,,,"  111",",,6","   89",",I,6",,
"USC00355689","1898-11-27","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  122",",,6","   61",",,6",,
"USC00355689","1898-11-28","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"  111",",,6","   56",",,6",,
"USC00355689","1898-11-29","44.85","-123.23333","61.0","MONMOUTH, OR US",,,,,,,"   83",",,6","   67",",,6",,
"USC00355689","1898-11-30","44.85","-123.23333","61.0","MONMOUTH, OR US","  472",",,6",,,,,"  106",",,6","   44",",,6",,
"USC00355689","1898-12-01","44.85","-123.23333","61.0","MONMOUTH, OR US","   46",",,6","    0",",,6",,,"  106",",,6","   67",",,6",,
"USC00355689","1898-12-02","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   89",",,6","   44",",,6",,
"USC00355689","1898-12-03","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   83",",,6","   17",",,6",,
"USC00355689","1898-12-04","44.85","-123.23333","61.0","MONMOUTH, OR US","  119",",,6","    0",",,6",,,"   83",",,6","   17",",,6",,
"USC00355689","1898-12-05","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   56",",,6","  -22",",,6",,
"USC00355689","1898-12-06","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   72",",,6","    0",",,6",,
"USC00355689","1898-12-07","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   61",",,6","  -28",",,6",,
"USC00355689","1898-12-08","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   72",",,6","  -17",",,6",,
"USC00355689","1898-12-09","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   78",",,6","  -22",",,6",,
"USC00355689","1898-12-10","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   78",",,6","  -22",",,6",,
"USC00355689","1898-12-11","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   39",",,6","  -67",",,6",,
"USC00355689","1898-12-12","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   22",",,6","  -78",",,6",,
"USC00355689","1898-12-13","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","T,,6","    0",",,6",,,"    0",",,6","  -44",",,6",,
"USC00355689","1898-12-14","44.85","-123.23333","61.0","MONMOUTH, OR US","   15",",,6","    0",",,6",,,"   11",",,6","  -11",",,6",,
"USC00355689","1898-12-15","44.85","-123.23333","61.0","MONMOUTH, OR US","    0","P,,6","    0",",,6",,,"   17",",,6","  -17",",,6",,
