"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00392438","1948-02-20","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","   25",",,0","  -33",",,0"," -161",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-21","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","   25",",,0","   17",",,0"," -133",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-22","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","   25",",,0","   44",",,0"," -106",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-23","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","   64",",,0","   89",",,0","  127",",,0","   17",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-24","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","    0",",,0","  127",",,0","  -44",",,0"," -128",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-25","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","   51",",,0","   61",",,0"," -156",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-26","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","   25",",,0","   61",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-02-27","44.83333","-101.61667","723.0","DUPREE 16 S, SD US",,,"   25",",,0","   51",",,0","   33",",,0","  -50",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-02-28","44.83333","-101.61667","723.0","DUPREE 16 S, SD US",,,"   51",",,0","   76",",,0","  -22",",,0"," -106",",,0","    2",",,0","   76",",,0",,,,,,,,,,,,,,,,
"USC00392438","1948-02-29","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  102",",,0","  -56",",,0"," -183",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-01","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    3",",,0","    3",",,0","   76",",,0","  -11",",,0","  -94",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-03-02","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","    0","T,,0","   76",",,0","  -61",",,0"," -117",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-03-03","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",I,0","  -56",",,0"," -106",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-04","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","   51",",I,0","  127",",I,0","  -61",",,0"," -150",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-05","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","   13",",,0","  127",",,0","  -44",",,0"," -144",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-06","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","    0",",,0","  127",",,0","  -39",",,0"," -133",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-03-07","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","   91",",,0","   51",",,0","  178",",,0","  -67",",,0"," -100",",I,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-08","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  178",",,0"," -122",",I,0"," -194",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-09","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  178",",,0"," -122",",,0"," -239",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-10","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  178",",,0"," -122",",,0"," -289",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-11","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  178",",,0","  -17",",,0"," -272",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-12","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","  102",",,0","   61",",,0"," -139",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-13","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","   51",",,0","  100",",,0","  -94",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-14","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","   51",",,0","   67",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-15","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","   51",",,0","   33",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-16","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    5",",,0","   25",",,0","   51",",,0","   44",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-17","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","   13",",,0","   51",",,0","   33",",,0","  -56",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-03-18","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","    0","T,,0","   25",",,0","  100",",,0","  -17",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-03-19","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  111",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-20","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","   43",",,0","    0",",,0","    0",",,0","   67",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-21","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","   89",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-22","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  172",",,0","  -72",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-23","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","    6",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-24","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  144",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-25","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  117",",,0","  -39",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-03-26","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","   13",",,0","   25",",,0","    0","T,,0","  -33",",,0","  -67",",,0",,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00392438","1948-03-27","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","   50",",,0"," -106",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-28","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-29","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    5",",,0","   25",",,0","    0",",,0","  100",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-30","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","    0",",,0","    0","T,,0","   78",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-03-31","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","   72",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-01","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","   13",",,0","    0",",,0","   56",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00392438","1948-04-02","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","   94",",,0","    6",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-03","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  250",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00392438","1948-04-04","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  194",",,0","   11",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-05","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  178",",,0","  -72",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-06","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  139",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-07","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","   58",",,0","    0","T,,0","    0",",,0","  106",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00392438","1948-04-08","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  144",",,0","  -89",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-09","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  200",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-10","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","    0",",,0","    0",",,0","  172",",,0","   11",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-11","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","   94",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-12","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","    0","T,,0","    0",",,0","   44",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-13","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","    0","T,,0","    0",",,0","  183",",,0","  -39",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-04-14","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  217",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-15","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0","T,,0","    0",",,0","    0",",,0","  239",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-16","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  189",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-17","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  283",",,0","   33",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-18","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  239",",,0","   72",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-19","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","  445",",,0","    0",",,0","    0",",,0","  161",",,0","   39",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-20","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-21","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  211",",,0","   56",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-22","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  267",",,0","   78",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-23","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","   15",",,0","    0",",,0","    0",",,0","  233",",,0","   89",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00392438","1948-04-24","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","   61",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-25","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","  150",",,0","    0",",,0","    0",",,0","  150",",,0","   50",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-26","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","   13",",,0","    0",",,0","    0",",,0","  128",",,0","   89",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-27","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","    6",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-28","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  211",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-29","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0","  239",",,0","   78",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1948-04-30","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","   84",",,0","    0",",,0","    0",",,0","  239",",,0","   78",",,0",,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-01","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-02","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","   18",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-03","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","  155",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-04","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","  483",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-05","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    3",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-06","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-07","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-08","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-09","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-10","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-11","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-12","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-13","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","   10",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-14","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00392438","1951-10-15","44.83333","-101.61667","723.0","DUPREE 16 S, SD US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,
