"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USC00308633","1893-02-02","43.616667","-75.416667","396.2","TURIN, NY US","    8",",,6","    8",",,6","  -17",",,6"," -133",",,6",,,,
"USC00308633","1893-02-03","43.616667","-75.416667","396.2","TURIN, NY US","  191",",,6","  191",",,6","    6",",,6"," -122",",,6",,,,
"USC00308633","1893-02-04","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -89",",,6"," -244",",,6",,,,
"USC00308633","1893-02-05","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6"," -122",",,6"," -250",",,6",,,,
"USC00308633","1893-02-06","43.616667","-75.416667","396.2","TURIN, NY US","  302",",,6","  147",",,6","   39",",,6"," -144",",,6",,,,
"USC00308633","1893-02-07","43.616667","-75.416667","396.2","TURIN, NY US","  155",",,6","   51",",,6","   56",",,6"," -144",",,6",,,,
"USC00308633","1893-02-08","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6"," -117",",,6"," -189",",,6",,,,
"USC00308633","1893-02-09","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6",,,,,,,,
"USC00308633","1893-02-10","43.616667","-75.416667","396.2","TURIN, NY US","   56",",,6","    0","T,,6","   33",",,6","  -61",",,6",,,,
"USC00308633","1893-02-11","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -17",",,6","  -89",",,6",,,,
"USC00308633","1893-02-12","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0","T,,6","  -28",",,6"," -122",",,6",,,,
"USC00308633","1893-02-13","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   -6",",,6"," -111",",,6",,,,
"USC00308633","1893-02-14","43.616667","-75.416667","396.2","TURIN, NY US","   38",",,6","   23",",,6","   11",",,6"," -100",",,6",,,,
"USC00308633","1893-02-15","43.616667","-75.416667","396.2","TURIN, NY US","   74",",,6","    0",",,6","   39",",,6","  -44",",,6",,,,
"USC00308633","1893-02-16","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0","T,,6","  -33",",,6"," -128",",,6",,,,
"USC00308633","1893-02-17","43.616667","-75.416667","396.2","TURIN, NY US","   13",",,6","   15",",,6"," -117",",,6",,,,,,
"USC00308633","1893-02-18","43.616667","-75.416667","396.2","TURIN, NY US","  178",",,6","  208",",,6","  -72",",,6"," -144",",,6",,,,
"USC00308633","1893-02-19","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0","T,,6","  -50",",,6"," -144",",,6",,,,
"USC00308633","1893-02-20","43.616667","-75.416667","396.2","TURIN, NY US","  203",",,6","  203",",,6","  -44",",,6"," -222",",,6",,,,
"USC00308633","1893-02-21","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -83",",,6"," -211",",,6",,,,
"USC00308633","1893-02-22","43.616667","-75.416667","396.2","TURIN, NY US","  163",",,6","  193",",,6","  -72",",,6"," -128",",,6",,,,
"USC00308633","1893-02-23","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0","T,,6","  -39",",,6","  -89",",,6",,,,
"USC00308633","1893-02-24","43.616667","-75.416667","396.2","TURIN, NY US","  211",",,6","  208",",,6","  -67",",,6"," -172",",,6",,,,
"USC00308633","1893-02-25","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -28",",,6"," -167",",,6",,,,
"USC00308633","1893-02-26","43.616667","-75.416667","396.2","TURIN, NY US","   10",",,6","   10",",,6","  -39",",,6"," -106",",,6",,,,
"USC00308633","1893-02-27","43.616667","-75.416667","396.2","TURIN, NY US","    8",",,6","    8",",,6","  -56",",,6"," -178",",,6",,,,
"USC00308633","1893-02-28","43.616667","-75.416667","396.2","TURIN, NY US",,,"    0",",,6","  -33",",,6"," -161",",,6",,,,
"USC00308633","1893-03-01","43.616667","-75.416667","396.2","TURIN, NY US","  130",",,6","  157",",,6","  -11",",,6","  -61",",,6",,,,
"USC00308633","1893-03-02","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -39",",,6"," -111",",,6",,,,
"USC00308633","1893-03-03","43.616667","-75.416667","396.2","TURIN, NY US","   15",",,6","   15",",,6","  -33",",,6"," -122",",,6",,,,
"USC00308633","1893-03-04","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -39",",,6"," -128",",,6",,,,
"USC00308633","1893-03-05","43.616667","-75.416667","396.2","TURIN, NY US","   18",",,6","   23",",,6","  -72",",,6"," -156",",,6",,,,
"USC00308633","1893-03-06","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0","T,,6","  -33",",,6"," -167",",,6",,,,
"USC00308633","1893-03-07","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   22",",,6","  -89",",,6",,,,
"USC00308633","1893-03-08","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   61",",,6"," -100",",,6",,,,
"USC00308633","1893-03-09","43.616667","-75.416667","396.2","TURIN, NY US","   28",",,6","    0",",,6","   61",",,6","    0",",,6",,,,
"USC00308633","1893-03-10","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   56",",,6","  -44",",,6",,,,
"USC00308633","1893-03-11","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0",",,6","   33",",,6","    0",",,6",,,,
"USC00308633","1893-03-12","43.616667","-75.416667","396.2","TURIN, NY US","  251",",,6","    0",",,6","   44",",,6","   11",",,6",,,,
"USC00308633","1893-03-13","43.616667","-75.416667","396.2","TURIN, NY US","    3",",,6","    0",",,6","   22",",,6","  -56",",,6",,,,
"USC00308633","1893-03-14","43.616667","-75.416667","396.2","TURIN, NY US","   30",",,6","    0",",,6","   28",",,6","  -44",",,6",,,,
"USC00308633","1893-03-15","43.616667","-75.416667","396.2","TURIN, NY US","   56",",,6","   46",",,6","   33",",,6"," -133",",,6",,,,
"USC00308633","1893-03-16","43.616667","-75.416667","396.2","TURIN, NY US","   10",",,6","   10",",,6","  -89",",,6"," -161",",,6",,,,
"USC00308633","1893-03-17","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -28",",,6"," -150",",,6",,,,
"USC00308633","1893-03-18","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -67",",,6"," -133",",,6",,,,
"USC00308633","1893-03-19","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -56",",,6"," -189",",,6",,,,
"USC00308633","1893-03-20","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0","T,,6","   11",",,6"," -122",",,6",,,,
"USC00308633","1893-03-21","43.616667","-75.416667","396.2","TURIN, NY US","  208",",,6","  130",",,6","   28",",,6","  -17",",,6",,,,
"USC00308633","1893-03-22","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","    0",",,6","  -61",",,6",,,,
"USC00308633","1893-03-23","43.616667","-75.416667","396.2","TURIN, NY US","   20",",,6","   20",",,6",,,,,,,,
"USC00308633","1893-03-24","43.616667","-75.416667","396.2","TURIN, NY US","   48",",,6","    0",",,6","   61",",,6","  -61",",,6",,,,
"USC00308633","1893-03-25","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0","T,,6","   72",",,6","  -22",",,6",,,,
"USC00308633","1893-03-26","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   -6",",,6","  -39",",,6",,,,
"USC00308633","1893-03-27","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","    0",",,6","  -83",",,6",,,,
"USC00308633","1893-03-28","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -56",",,6"," -117",",,6",,,,
"USC00308633","1893-03-29","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  -17",",,6"," -144",",,6",,,,
"USC00308633","1893-03-30","43.616667","-75.416667","396.2","TURIN, NY US","   46",",,6","    0","T,,6",,,,,,,,
"USC00308633","1893-03-31","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   17",",,6","  -50",",,6",,,,
"USC00308633","1893-04-01","43.616667","-75.416667","396.2","TURIN, NY US","  117",",,6","    0",",,6","   72",",,6","  -22",",,6",,,,
"USC00308633","1893-04-02","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0","T,,6","   33",",,6","  -89",",,6",,,,
"USC00308633","1893-04-03","43.616667","-75.416667","396.2","TURIN, NY US","   13",",,6","    0",",,6","   67",",,6","  -72",",,6",,,,
"USC00308633","1893-04-04","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  133",",,6","   28",",,6",,,,
"USC00308633","1893-04-05","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0","T,,6","   44",",,6","  -28",",,6",,,,
"USC00308633","1893-04-06","43.616667","-75.416667","396.2","TURIN, NY US","   48",",,6","   53",",,6","   -6",",,6","  -72",",,6",,,,
"USC00308633","1893-04-07","43.616667","-75.416667","396.2","TURIN, NY US","  196",",,6","  127",",,6","   -6",",,6","  -72",",,6",,,,
"USC00308633","1893-04-08","43.616667","-75.416667","396.2","TURIN, NY US","   13",",,6","    0",",,6","  144",",,6","   -6",",,6",,,,
"USC00308633","1893-04-09","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   61",",,6","  -11",",,6",,,,
"USC00308633","1893-04-10","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   61",",,6","  -28",",,6",,,,
"USC00308633","1893-04-11","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  111",",,6","  -22",",,6",,,,
"USC00308633","1893-04-12","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0",",,6","  100",",,6","    0",",,6",,,,
"USC00308633","1893-04-13","43.616667","-75.416667","396.2","TURIN, NY US","   36",",,6","    0",",,6","  156",",,6","   33",",,6",,,,
"USC00308633","1893-04-14","43.616667","-75.416667","396.2","TURIN, NY US","  109",",,6","  109",",,6","   89",",,6","   -6",",,6",,,,
"USC00308633","1893-04-15","43.616667","-75.416667","396.2","TURIN, NY US","  170",",,6","  157",",,6","    6",",,6","  -39",",,6",,,,
"USC00308633","1893-04-16","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   44",",,6","  -89",",,6",,,,
"USC00308633","1893-04-17","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   72",",,6","  -39",",,6",,,,
"USC00308633","1893-04-18","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   61",",,6","   -6",",,6",,,,
"USC00308633","1893-04-19","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","   33",",,6","  -22",",,6",,,,
"USC00308633","1893-04-20","43.616667","-75.416667","396.2","TURIN, NY US","   84",",,6","    0",",,6","   56",",,6","  -28",",,6",,,,
"USC00308633","1893-04-21","43.616667","-75.416667","396.2","TURIN, NY US","   20",",,6","   15",",,6","  128",",,6","    0",",,6",,,,
"USC00308633","1893-04-22","43.616667","-75.416667","396.2","TURIN, NY US","  160",",,6","    0","T,,6","   72",",,6","    6",",,6",,,,
"USC00308633","1893-04-23","43.616667","-75.416667","396.2","TURIN, NY US","   13",",,6","    0","T,,6","   61",",,6","    6",",,6",,,,
"USC00308633","1893-04-24","43.616667","-75.416667","396.2","TURIN, NY US","    8",",,6","    0","T,,6","   89",",,6","   -6",",,6",,,,
"USC00308633","1893-04-25","43.616667","-75.416667","396.2","TURIN, NY US","   15",",,6","    0",",,6","   56",",,6","    6",",,6",,,,
"USC00308633","1893-04-26","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  111",",,6","  -72",",,6",,,,
"USC00308633","1893-04-27","43.616667","-75.416667","396.2","TURIN, NY US","   48",",,6","    0",",,6","   61",",,6","    6",",,6",,,,
"USC00308633","1893-04-28","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6","    0",",,6","  100",",,6","    0",",,6",,,,
"USC00308633","1893-04-29","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0",",,6","  111",",,6","   22",",,6",,,,
"USC00308633","1893-04-30","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6","    0",",,6","  144",",,6","   17",",,6",,,,
"USC00308633","1893-05-01","43.616667","-75.416667","396.2","TURIN, NY US","  295",",,6",,,"   83",",,6","   44",",,6",,,,
"USC00308633","1893-05-02","43.616667","-75.416667","396.2","TURIN, NY US","   20",",,6",,,"  150",",,6","   61",",,6",,,,
"USC00308633","1893-05-03","43.616667","-75.416667","396.2","TURIN, NY US","    0","T,,6",,,"  128",",,6","   67",",,6",,,,
"USC00308633","1893-05-04","43.616667","-75.416667","396.2","TURIN, NY US","  561",",,6",,,"   83",",,6","   17",",,6",,,,
"USC00308633","1893-05-05","43.616667","-75.416667","396.2","TURIN, NY US","   15",",,6",,,"   67",",,6","   17",",,6",,,,
"USC00308633","1893-05-06","43.616667","-75.416667","396.2","TURIN, NY US","   15",",,6",,,"   83",",,6","   22",",,6",,,,
"USC00308633","1893-05-07","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  111",",,6","   33",",,6",,,,
"USC00308633","1893-05-08","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  156",",,6","    6",",,6",,,,
"USC00308633","1893-05-09","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  194",",,6","   22",",,6",,,,
"USC00308633","1893-05-10","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  222",",,6","   67",",,6",,,,
"USC00308633","1893-05-11","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  256",",,6","   56",",,6",,,,
"USC00308633","1893-05-12","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  267",",,6","  111",",,6",,,,
"USC00308633","1893-05-13","43.616667","-75.416667","396.2","TURIN, NY US","  114",",,6",,,"  206",",,6","   89",",,6",,,,
"USC00308633","1893-05-14","43.616667","-75.416667","396.2","TURIN, NY US","   38",",,6",,,"  144",",,6","   94",",,6",,,,
"USC00308633","1893-05-15","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  189",",,6","  100",",,6",,,,
"USC00308633","1893-05-16","43.616667","-75.416667","396.2","TURIN, NY US","  277",",,6",,,"  144",",,6","  117",",,6",,,,
"USC00308633","1893-05-17","43.616667","-75.416667","396.2","TURIN, NY US","   69",",,6",,,"  128",",,6","   72",",,6",,,,
"USC00308633","1893-05-18","43.616667","-75.416667","396.2","TURIN, NY US","   20",",,6",,,"  100",",,6","   39",",,6",,,,
"USC00308633","1893-05-19","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"   94",",,6","   11",",,6",,,,
"USC00308633","1893-05-20","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  206",",,6","   22",",,6",,,,
"USC00308633","1893-05-21","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  178",",,6","  106",",,6",,,,
"USC00308633","1893-05-22","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  222",",,6","   61",",,6",,,,
"USC00308633","1893-05-23","43.616667","-75.416667","396.2","TURIN, NY US","   66",",,6",,,"  278",",,6","  122",",,6",,,,
"USC00308633","1893-05-24","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  144",",,6","   39",",,6",,,,
"USC00308633","1893-05-25","43.616667","-75.416667","396.2","TURIN, NY US","   51",",,6",,,"  206",",,6","   33",",,6",,,,
"USC00308633","1893-05-26","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  122",",,6","   33",",,6",,,,
"USC00308633","1893-05-27","43.616667","-75.416667","396.2","TURIN, NY US","   64",",,6",,,"  117",",,6","   72",",,6",,,,
"USC00308633","1893-05-28","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  133",",,6","   56",",,6",,,,
"USC00308633","1893-05-29","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  178",",,6","   22",",,6",,,,
"USC00308633","1893-05-30","43.616667","-75.416667","396.2","TURIN, NY US","   13",",,6",,,"  178",",,6","   61",",,6",,,,
"USC00308633","1893-05-31","43.616667","-75.416667","396.2","TURIN, NY US","    5",",,6",,,"  200",",,6","   61",",,6",,,,
"USC00308633","1893-06-01","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  194",",,6","  106",",,6",,,,
"USC00308633","1893-06-02","43.616667","-75.416667","396.2","TURIN, NY US","   10",",,6",,,"  200",",,6","  128",",,6",,,,
"USC00308633","1893-06-03","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  250",",,6","  156",",,6",,,,
"USC00308633","1893-06-04","43.616667","-75.416667","396.2","TURIN, NY US","   30",",,6",,,"  233",",,6","  178",",,6",,,,
"USC00308633","1893-06-05","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  272",",,6","  167",",,6",,,,
"USC00308633","1893-06-06","43.616667","-75.416667","396.2","TURIN, NY US","  104",",,6",,,"  211",",,6","  133",",,6",,,,
"USC00308633","1893-06-07","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  178",",,6","   83",",,6",,,,
"USC00308633","1893-06-08","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  233",",,6","   78",",,6",,,,
"USC00308633","1893-06-09","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  250",",,6","  106",",,6",,,,
"USC00308633","1893-06-10","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  244",",,6","  139",",,6",,,,
"USC00308633","1893-06-11","43.616667","-75.416667","396.2","TURIN, NY US","  180",",,6",,,"  244",",,6","  111",",,6",,,,
"USC00308633","1893-06-12","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  189",",,6","  111",",,6",,,,
"USC00308633","1893-06-13","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  228",",,6","  133",",,6",,,,
"USC00308633","1893-06-14","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  256",",,6","  128",",,6",,,,
"USC00308633","1893-06-15","43.616667","-75.416667","396.2","TURIN, NY US","  287",",,6",,,"  267",",,6","  139",",,6",,,,
"USC00308633","1893-06-16","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  239",",,6","  167",",,6",,,,
"USC00308633","1893-06-17","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  250",",,6","  122",",,6",,,,
"USC00308633","1893-06-18","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  267",",,6","  133",",,6",,,,
"USC00308633","1893-06-19","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  272",",,6","  144",",,6",,,,
"USC00308633","1893-06-20","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  294",",,6","  206",",,6",,,,
"USC00308633","1893-06-21","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  278",",,6","  161",",,6",,,,
"USC00308633","1893-06-22","43.616667","-75.416667","396.2","TURIN, NY US","   20",",,6",,,"  228",",,6","  161",",,6",,,,
"USC00308633","1893-06-23","43.616667","-75.416667","396.2","TURIN, NY US","   18",",,6",,,"  200",",,6","  133",",,6",,,,
"USC00308633","1893-06-24","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  217",",,6","   89",",,6",,,,
"USC00308633","1893-06-25","43.616667","-75.416667","396.2","TURIN, NY US","   28",",,6",,,"  217",",,6","   94",",,6",,,,
"USC00308633","1893-06-26","43.616667","-75.416667","396.2","TURIN, NY US","   61",",,6",,,"  189",",,6","  128",",,6",,,,
"USC00308633","1893-06-27","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  200",",,6","  117",",,6",,,,
"USC00308633","1893-06-28","43.616667","-75.416667","396.2","TURIN, NY US","    5",",,6",,,"  211",",,6","  117",",,6",,,,
"USC00308633","1893-06-29","43.616667","-75.416667","396.2","TURIN, NY US","  335",",,6",,,"  233",",,6","  100",",,6",,,,
"USC00308633","1893-06-30","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  239",",,6","  100",",,6",,,,
"USC00308633","1893-07-01","43.616667","-75.416667","396.2","TURIN, NY US","    5",",,6",,,"  267",",,6","  111",",,6",,,,
"USC00308633","1893-07-02","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  267",",,6","  117",",,6",,,,
"USC00308633","1893-07-03","43.616667","-75.416667","396.2","TURIN, NY US","  163",",,6",,,"  206",",,6","  139",",,6",,,,
"USC00308633","1893-07-04","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  206",",,6","  111",",,6",,,,
"USC00308633","1893-07-05","43.616667","-75.416667","396.2","TURIN, NY US","   91",",,6",,,"  194",",,6","   94",",,6",,,,
"USC00308633","1893-07-06","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  200",",,6","  133",",,6",,,,
"USC00308633","1893-07-07","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  256",",,6","  100",",,6",,,,
"USC00308633","1893-07-08","43.616667","-75.416667","396.2","TURIN, NY US","   94",",,6",,,"  278",",,6","  161",",,6",,,,
"USC00308633","1893-07-09","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  183",",,6","  122",",,6",,,,
"USC00308633","1893-07-10","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  189",",,6","   83",",,6",,,,
"USC00308633","1893-07-11","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  217",",,6","   94",",,6",,,,
"USC00308633","1893-07-12","43.616667","-75.416667","396.2","TURIN, NY US","   89",",,6",,,"  167",",,6","  128",",,6",,,,
"USC00308633","1893-07-13","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  222",",,6","  150",",,6",,,,
"USC00308633","1893-07-14","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  261",",,6","  144",",,6",,,,
"USC00308633","1893-07-15","43.616667","-75.416667","396.2","TURIN, NY US","   10",",,6",,,"  272",",,6","  167",",,6",,,,
"USC00308633","1893-07-16","43.616667","-75.416667","396.2","TURIN, NY US","    0",",,6",,,"  261",",,6","  189",",,6",,,,
"USC00308633","1893-07-17","43.616667","-75.416667","396.2","TURIN, NY US","   10",",,6",,,"  261",",,6","  156",",,6",,,,
