"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00358190","1895-05-28","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","   61",",,6","   -6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-29","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","   78",",,6","   11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-30","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"   76",",,6","    0",",,6","   67",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-05-31","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"   51",",,6","    0",",,6","   61",",,6","   -6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-01","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  111",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-02","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  167",",,6","   33",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-03","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  206",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-04","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0","T,,6","    0",",,6","    0",",,6","  172",",,6","   39",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-05","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  111",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-06","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  117",",,6","    6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-07","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0","T,,6","    0",",,6","    0",",,6","  183",",,6","   -6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-08","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  189",",,6","   33",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-09","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  233",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-10","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  206",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-11","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  189",",,6","  -11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-12","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  206",",,6","    6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-13","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0","P,,6","    0",",,6","    0",",,6","   83",",,6","    6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-14","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"   76",",,6","    0",",,6","   83",",,6","   -6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-15","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"  102",",,6","   76",",,6","   67",",,6","  -11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-16","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0","P,,6","    0",",,6","    0",",,6","   78",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-17","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  144",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-18","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  144",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-19","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  161",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-20","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  233",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-21","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  228",",,6","   72",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-22","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  217",",,6","   39",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-23","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  211",",,6","   89",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-24","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  200",",,6","   33",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-25","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  239",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-26","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  289",",,6","  122",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-27","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  300",",,6","  122",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-28","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  311",",,6","  122",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-29","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  228",",,6","   83",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-06-30","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0","P,,6","    0",",,6","    0",",,6","  139",",,6","   72",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-01","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","  139",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-02","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  139",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-03","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  211",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-04","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","  144",",,6","   67",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-05","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US",,,"    0",",,6","    0",",,6","   89",",,6","   33",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-06","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  178",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-07","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  211",",,6","   11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-08","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  211",",,6","  100",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-09","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  244",",,6","  156",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-10","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  261",",,6","  172",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-11","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  306",",,6","  194",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-12","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  283",",,6","   83",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-13","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  222",",,6","  100",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-14","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  217",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-15","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  206",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-16","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  122",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-17","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  144",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-18","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0","T,,6","    0",",,6","    0",",,6","  133",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-19","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  167",",,6","   44",",,6",,,,,,,,,,,"    1",",,6",,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-20","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  233",",,6","   11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-21","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  289",",,6","  100",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-22","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  261",",,6","   72",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-23","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  261",",,6","   72",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-24","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  178",",,6","   67",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-25","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  172",",,6","   72",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-26","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  178",",,6","   11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-27","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  239",",,6","   11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-28","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  244",",,6","   78",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-29","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0","T,,6","    0",",,6","    0",",,6","  150",",,6","   72",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-30","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  172",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-07-31","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  206",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-01","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  278",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-02","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  294",",,6","  106",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-03","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  211",",,6","   78",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-04","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  294",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-05","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  322",",,6","  133",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-06","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  228",",,6","  117",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-07","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  122",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,
"USC00358190","1895-08-08","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  172",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,
"USC00358190","1895-08-09","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  244",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-10","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  283",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,
"USC00358190","1895-08-11","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  228",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,
"USC00358190","1895-08-12","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  178",",,6","   33",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-13","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  233",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-14","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  300",",,6","  111",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-15","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  211",",,6","   56",",,6",,,,,,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,
"USC00358190","1895-08-16","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  222",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-17","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  233",",,6","   11",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-18","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  222",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,"    1",",,6",,,,,,,,,,
"USC00358190","1895-08-19","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  233",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-20","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  217",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-21","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  172",",,6","   83",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-22","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  183",",,6","   83",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-23","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  228",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-24","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  200",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-25","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  117",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00358190","1895-08-26","45.3","-121.75","1189.9","SUMMIT GUARD STATION, OR US","    0",",,6","    0",",,6","    0",",,6","  172",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
