"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00273855","2011-03-25","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  152",",,7","  -78",",,7"
"USC00273855","2011-03-26","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  127",",,7"," -100",",,7"
"USC00273855","2011-03-28","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  102",",,7","  -56",",,7"
"USC00273855","2011-03-29","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","  102",",,7","  -78",",,7"
"USC00273855","2011-03-30","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","   76",",,7","   -6",",,7"
"USC00273855","2011-03-31","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","   76",",,7","    0",",,7"
"USC00273855","2011-04-01","43.7186","-72.2724","161.5","HANOVER 2, NH US","   15",",,7,0700","   51",",,7","  152",",,7","   17",",,7"
"USC00273855","2011-04-02","43.7186","-72.2724","161.5","HANOVER 2, NH US","   61",",,7,0700","    0",",,7","  102",",,7","   89",",,7"
"USC00273855","2011-04-03","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","   76",",,7","   33",",,7"
"USC00273855","2011-04-04","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","   76",",,7","  -11",",,7"
"USC00273855","2011-04-05","43.7186","-72.2724","161.5","HANOVER 2, NH US","   56",",,7,0700","    0",",,7","   51",",,7","   44",",,7"
"USC00273855","2011-04-06","43.7186","-72.2724","161.5","HANOVER 2, NH US","   76",",,7,0700","    0",",,7","   51",",,7","  -11",",,7"
"USC00273855","2011-04-07","43.7186","-72.2724","161.5","HANOVER 2, NH US","   30",",,7,0700","    0",",,7","   25",",,7","  -33",",,7"
"USC00273855","2011-04-08","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","    0",",,7","  -44",",,7"
"USC00273855","2011-04-09","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","    0",",,7","  -56",",,7"
"USC00273855","2011-04-10","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","    0",",,7","   11",",,7"
"USC00273855","2011-04-11","43.7186","-72.2724","161.5","HANOVER 2, NH US","   91",",,7,0700","    0",",,7","    0",",,7","   78",",,7"
"USC00273855","2011-04-12","43.7186","-72.2724","161.5","HANOVER 2, NH US","   15",",,7,0700","    0",",,7","    0",",,7","  111",",,7"
"USC00273855","2011-04-13","43.7186","-72.2724","161.5","HANOVER 2, NH US","   30",",,7,0700","    0",",,7","    0",",,7","   72",",,7"
"USC00273855","2011-04-14","43.7186","-72.2724","161.5","HANOVER 2, NH US","   91",",,7,0700","    0",",,7","    0",",,7","   56",",,7"
"USC00273855","2011-04-15","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","    0",",,7","  -11",",,7"
"USC00273855","2011-04-16","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","   25",",,7","   -6",",,7"
"USC00273855","2011-04-17","43.7186","-72.2724","161.5","HANOVER 2, NH US","  107",",,7,0700","    0",",,7","    0",",,7","   67",",,7"
"USC00273855","2011-04-18","43.7186","-72.2724","161.5","HANOVER 2, NH US","   41",",,7,0700","    0",",,7","    0",",,7","   33",",,7"
"USC00273855","2011-04-19","43.7186","-72.2724","161.5","HANOVER 2, NH US","   15",",,7,0700","    0",",,7","    0",",,7","   50",",,7"
"USC00273855","2011-04-20","43.7186","-72.2724","161.5","HANOVER 2, NH US","   36",",,7,0700","    0",",,7","    0",",,7","   78",",,7"
"USC00273855","2011-04-21","43.7186","-72.2724","161.5","HANOVER 2, NH US","   63",",,7,0700","    0",",,7","    0",",,7","   56",",,7"
"USC00273855","2011-04-22","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700","    0",",,7","    0",",,7","  -22",",,7"
"USC00273855","2011-04-23","43.7186","-72.2724","161.5","HANOVER 2, NH US","   15",",,7,0700","    0",",,7","    0",",,7","   11",",,7"
"USC00273855","2011-04-24","43.7186","-72.2724","161.5","HANOVER 2, NH US","   56",",,7,0700","    0",",,7","    0",",,7","   67",",,7"
"USC00273855","2011-04-25","43.7186","-72.2724","161.5","HANOVER 2, NH US","   25",",,7,0700","    0",",,7","    0",",,7","   61",",,7"
"USC00273855","2011-04-26","43.7186","-72.2724","161.5","HANOVER 2, NH US","  259",",,7,0700","    0",",,7","    0",",,7","  100",",,7"
"USC00273855","2011-04-27","43.7186","-72.2724","161.5","HANOVER 2, NH US","   91",",,7,0700","    0",",,7","    0",",,7","  117",",,7"
"USC00273855","2011-04-28","43.7186","-72.2724","161.5","HANOVER 2, NH US","  117",",,7,0700","    0",",,7","    0",",,7","  178",",,7"
"USC00273855","2011-04-29","43.7186","-72.2724","161.5","HANOVER 2, NH US","  284",",,7,0700","    0",",,7","    0",",,7","   50",",,7"
"USC00273855","2011-04-30","43.7186","-72.2724","161.5","HANOVER 2, NH US","   36",",,7,0700","    0",",,7","    0",",,7","   83",",,7"
"USC00273855","2011-05-01","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"   33",",,7"
"USC00273855","2011-05-02","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"   44",",,7"
"USC00273855","2011-05-03","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  133",",,7"
"USC00273855","2011-05-04","43.7186","-72.2724","161.5","HANOVER 2, NH US","  193",",,7,0700",,,,,"  128",",,7"
"USC00273855","2011-05-05","43.7186","-72.2724","161.5","HANOVER 2, NH US","  117",",,7,0700",,,,,"   67",",,7"
"USC00273855","2011-05-06","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"   22",",,7"
"USC00273855","2011-05-07","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"   83",",,7"
"USC00273855","2011-05-08","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  -22",",,7"
"USC00273855","2011-05-09","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  -22",",,7"
"USC00273855","2011-05-10","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  -17",",,7"
"USC00273855","2011-05-11","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  111",",,7"
"USC00273855","2011-05-12","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"   61",",,7"
"USC00273855","2011-05-13","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"   78",",,7"
"USC00273855","2011-05-14","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  117",",,7"
"USC00273855","2011-05-15","43.7186","-72.2724","161.5","HANOVER 2, NH US","  117",",,7,0700",,,,,"  122",",,7"
"USC00273855","2011-05-16","43.7186","-72.2724","161.5","HANOVER 2, NH US","  290",",,7,0700","    0",",,7","    0",",,7","  122",",,7"
"USC00273855","2011-05-17","43.7186","-72.2724","161.5","HANOVER 2, NH US","   66",",,7,0700",,,,,"   89",",,7"
"USC00273855","2011-05-18","43.7186","-72.2724","161.5","HANOVER 2, NH US","   76",",,7,0700",,,,,"  133",",,7"
"USC00273855","2011-05-19","43.7186","-72.2724","161.5","HANOVER 2, NH US","  218",",,7,0700",,,,,"  133",",,7"
"USC00273855","2011-05-20","43.7186","-72.2724","161.5","HANOVER 2, NH US","   66",",,7,0700",,,,,"  156",",,7"
"USC00273855","2011-05-21","43.7186","-72.2724","161.5","HANOVER 2, NH US","   30",",,7,0700",,,,,"  144",",,7"
"USC00273855","2011-05-22","43.7186","-72.2724","161.5","HANOVER 2, NH US","   25",",,7,0700",,,,,"  122",",,7"
"USC00273855","2011-05-23","43.7186","-72.2724","161.5","HANOVER 2, NH US","   91",",,7,0700",,,,,"  100",",,7"
"USC00273855","2011-05-24","43.7186","-72.2724","161.5","HANOVER 2, NH US","   25",",,7,0700",,,,,"  156",",,7"
"USC00273855","2011-05-25","43.7186","-72.2724","161.5","HANOVER 2, NH US","   41",",,7,0700",,,,,"  122",",,7"
"USC00273855","2011-05-26","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  156",",,7"
"USC00273855","2011-05-27","43.7186","-72.2724","161.5","HANOVER 2, NH US","   66",",,7,0700",,,,,"  156",",,7"
"USC00273855","2011-05-28","43.7186","-72.2724","161.5","HANOVER 2, NH US","   56",",,7,0700",,,,,"  189",",,7"
"USC00273855","2011-05-29","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  183",",,7"
"USC00273855","2011-05-30","43.7186","-72.2724","161.5","HANOVER 2, NH US","   91",",,7,0700",,,,,"  211",",,7"
"USC00273855","2011-05-31","43.7186","-72.2724","161.5","HANOVER 2, NH US","   30",",,7,0700",,,,,"  122",",,7"
"USC00273855","2011-06-01","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  167",",,7"
"USC00273855","2011-06-02","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  178",",,7"
"USC00273855","2011-06-03","43.7186","-72.2724","161.5","HANOVER 2, NH US","   10",",,7,0700",,,,,"  100",",,7"
"USC00273855","2011-06-04","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"   33",",,7"
"USC00273855","2011-06-05","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"   56",",,7"
"USC00273855","2011-06-06","43.7186","-72.2724","161.5","HANOVER 2, NH US","    5",",,7,0700",,,,,"  111",",,7"
"USC00273855","2011-06-07","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  100",",,7"
"USC00273855","2011-06-08","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  122",",,7"
"USC00273855","2011-06-09","43.7186","-72.2724","161.5","HANOVER 2, NH US","   41",",,7,0700",,,,,"  178",",,7"
"USC00273855","2011-06-10","43.7186","-72.2724","161.5","HANOVER 2, NH US","  193",",,7,0700",,,,,"  167",",,7"
"USC00273855","2011-06-11","43.7186","-72.2724","161.5","HANOVER 2, NH US","   20",",,7,0700",,,,,"  144",",,7"
"USC00273855","2011-06-12","43.7186","-72.2724","161.5","HANOVER 2, NH US","  117",",,7,0700",,,,,"  111",",,7"
"USC00273855","2011-06-13","43.7186","-72.2724","161.5","HANOVER 2, NH US","   71",",,7,0700",,,,,"  122",",,7"
"USC00273855","2011-06-14","43.7186","-72.2724","161.5","HANOVER 2, NH US","   91",",,7,0700",,,,,"  133",",,7"
"USC00273855","2011-06-15","43.7186","-72.2724","161.5","HANOVER 2, NH US","   66",",,7,0700",,,,,"  100",",,7"
"USC00273855","2011-06-16","43.7186","-72.2724","161.5","HANOVER 2, NH US","   36",",,7,0700",,,,,"  122",",,7"
"USC00273855","2011-06-17","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  111",",,7"
"USC00273855","2011-06-18","43.7186","-72.2724","161.5","HANOVER 2, NH US","   56",",,7,0700",,,,,"  167",",,7"
"USC00273855","2011-06-19","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"   89",",,7"
"USC00273855","2011-06-20","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"   78",",,7"
"USC00273855","2011-06-21","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  133",",,7"
"USC00273855","2011-06-22","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  156",",,7"
"USC00273855","2011-06-23","43.7186","-72.2724","161.5","HANOVER 2, NH US","  117",",,7,0700",,,,,"  167",",,7"
"USC00273855","2011-06-24","43.7186","-72.2724","161.5","HANOVER 2, NH US","  269",",,7,0700",,,,,"  133",",,7"
"USC00273855","2011-06-25","43.7186","-72.2724","161.5","HANOVER 2, NH US","  132",",,7,0700",,,,,"  122",",,7"
"USC00273855","2011-06-26","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  156",",,7"
"USC00273855","2011-06-27","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  156",",,7"
"USC00273855","2011-06-28","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  144",",,7"
"USC00273855","2011-06-29","43.7186","-72.2724","161.5","HANOVER 2, NH US","   36",",,7,0700",,,,,"  167",",,7"
"USC00273855","2011-06-30","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  156",",,7"
"USC00273855","2011-07-01","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  167",",,7"
"USC00273855","2011-07-02","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  133",",,7"
"USC00273855","2011-07-03","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  156",",,7"
"USC00273855","2011-07-04","43.7186","-72.2724","161.5","HANOVER 2, NH US","   30",",,7,0700",,,,,"  178",",,7"
"USC00273855","2011-07-05","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  167",",,7"
"USC00273855","2011-07-06","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  156",",,7"
"USC00273855","2011-07-07","43.7186","-72.2724","161.5","HANOVER 2, NH US","   61",",,7,0700",,,,,"  167",",,7"
"USC00273855","2011-07-08","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  133",",,7"
"USC00273855","2011-07-09","43.7186","-72.2724","161.5","HANOVER 2, NH US","   91",",,7,0700",,,,,"  178",",,7"
"USC00273855","2011-07-10","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  156",",,7"
"USC00273855","2011-07-11","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  167",",,7"
"USC00273855","2011-07-12","43.7186","-72.2724","161.5","HANOVER 2, NH US","   30",",,7,0700",,,,,"  211",",,7"
"USC00273855","2011-07-13","43.7186","-72.2724","161.5","HANOVER 2, NH US","   15",",,7,0700",,,,,"  189",",,7"
"USC00273855","2011-07-14","43.7186","-72.2724","161.5","HANOVER 2, NH US","   41",",,7,0700",,,,,"  122",",,7"
"USC00273855","2011-07-15","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  111",",,7"
"USC00273855","2011-07-16","43.7186","-72.2724","161.5","HANOVER 2, NH US","    0",",,7,0700",,,,,"  100",",,7"
