outage_id,component_id,component_type,start_time,duration,end_time,cause,is_weather_related,impact,cascading,preceded_by,followed_by
O000000,line_85,line,2023-08-31 07:00:00,19.984699852057844,2023-09-01 02:59:04.919467,equipment_failure,False,337,False,,
O000001,line_3,line,2023-09-19 09:00:00,8.958471367487281,2023-09-19 17:57:30.496923,equipment_failure,False,210,False,,
O000018,node_47,node,2023-09-28 08:00:00,0.5,2023-09-28 08:30:00.000000,equipment_failure,False,367,False,,
O000022,line_71,line,2023-10-21 12:00:00,16.19495600801723,2023-10-22 04:11:41.841629,equipment_failure,False,421,False,,
O000023,line_88,line,2023-10-26 03:00:00,5.314741135057942,2023-10-26 08:18:53.068086,equipment_failure,False,123,False,,
O000015,node_20,node,2023-10-30 13:00:00,5.005529171303763,2023-10-30 18:00:19.905017,equipment_failure,False,506,False,,
O000030,line_9,line,2023-11-02 19:00:00,18.332034012233006,2023-11-03 13:19:55.322444,equipment_failure,False,159,False,,
O000005,line_15,line,2023-11-12 17:00:00,19.691692012218443,2023-11-13 12:41:30.091244,equipment_failure,False,226,False,,
O000006,line_28,line,2023-11-13 13:00:00,0.5,2023-11-13 13:30:00.000000,equipment_failure,False,228,False,,
O000002,node_82,node,2023-11-17 06:00:00,0.9022545326099177,2023-11-17 06:54:08.116317,equipment_failure,False,269,False,,
O000009,line_44,line,2023-11-26 17:00:00,7.2084443314362945,2023-11-27 00:12:30.399593,equipment_failure,False,317,False,,
O000024,line_118,line,2023-11-30 03:00:00,8.48434945284654,2023-11-30 11:29:03.658030,equipment_failure,False,254,False,,
O000013,node_48,node,2023-12-21 02:00:00,14.279708086573457,2023-12-21 16:16:46.949112,equipment_failure,False,733,False,,
